lemma,gender,declension,gs,gs_other
eu)xaristi/a,feminine,1.0,eu)xaristi/as,
qe/lhma,neuter,3.0,qelh/matos,
sfragi/s,feminine,3.0,sfragi/dos,"sfragi=si(n), sfragi=das, sfragi/dwn, sfragi=da"
*)iou/das,masculine,3.0,*)iou/da,
r(i/za,feminine,1.0,r(i/zhs,
a)rni/on,neuter,2.0,a)rni/ou,
ke/ras,neuter,1.0,ke/ratos,"ke/rata, kera/twn, ke/ras"
kiqa/ra,feminine,1.0,kiqa/ras,
fia/lh,feminine,1.0,fia/lhs,"fia/las, fia/lhn"
qumi/ama,neuter,3.0,qumia/matos,
proseuxh/,feminine,1.0,proseuxh=s,
w)|dh/,feminine,1.0,w)|dh=s,
glw=ssa,feminine,1.0,glw/sshs,
lao/s,masculine,2.0,laou=,
a)riqmo/s,masculine,2.0,a)riqmou=,
muria/s,feminine,1.0,muria/dos,"muria/des, muria/dwn, muria/das, muria/si(n)"
xilia/s,feminine,1.0,xilia/dos,"xilia/des, xilia/dwn, xilia/si(n)"
plou=tos,masculine,2.0,plou/tou,
sofi/a,feminine,1.0,sofi/as,
i)sxu/s,feminine,3.0,i)sxu/os,
eu)logi/a,feminine,1.0,eu)logi/as,
kti/sma,neuter,1.0,kti/smatos,"kti/sma, ktisma/twn"
i(/ppos,masculine,2.0,i(/ppou,
to/con,neuter,2.0,to/cou,
ma/xaira,feminine,1.0,maxai/rhs,
zugo/s,masculine,2.0,zugou=,
xoi=nic,feminine,3.0,xoi/nikos,xoi/nikes
si=tos,masculine,2.0,si/tou,
dhna/rion,neuter,2.0,dhnari/ou,
kriqh/,feminine,1.0,kriqh=s,
e)/laion,neuter,2.0,e)lai/ou,
oi)=nos,masculine,2.0,oi)/nou,
limo/s,masculine,2.0,limou=,"limw=|, limoi/, limo/n"
qhri/on,neuter,2.0,qhri/ou,
qusiasth/rion,neuter,2.0,qusiasthri/ou,
yuxh/,feminine,1.0,yuxh=s,
despo/ths,masculine,1.0,despo/tou,
stolh/,feminine,1.0,stolh=s,
su/ndoulos,masculine,2.0,sundou/lou,
seismo/s,masculine,2.0,seismou=,
sa/kkos,masculine,2.0,sa/kkou,
selh/nh,feminine,1.0,selh/nhs,
sukh=,feminine,1.0,sukh=s,
o)/lunqos,masculine,2.0,o)lu/nqou,o)lu/nqous
a)/nemos,masculine,2.0,a)ne/mou,
o)/ros,neuter,3.0,o)/rous,
megista/n,masculine,3.0,megista=nos,"megista=nes, megista=si(n)"
xili/arxos,masculine,2.0,xilia/rxou,"xili/arxoi, xilia/rxwn, xilia/rxw|, xili/arxon, xilia/rxois"
sph/laion,neuter,2.0,sphlai/ou,
pe/tra,feminine,1.0,pe/tras,
o)rgh/,feminine,1.0,o)rgh=s,
gwni/a,feminine,1.0,gwni/as,
de/ndron,neuter,2.0,de/ndrou,
a)natolh/,feminine,1.0,a)natolh=s,
me/twpon,neuter,2.0,metw/pou,
*(roubh/n,masculine,3.0,*(roubh/n,
*ga/d,masculine,3.0,*ga/d,
*)ash/r,masculine,3.0,*)ash/r,
*nefqali/m,masculine,3.0,*nefqali/m,
*manassh=s,masculine,3.0,*manassh=,
*sumew/n,masculine,3.0,*sumew/n,
*leui/,masculine,3.0,*leui/,
*)issaxa/r,masculine,3.0,*)issaxa/r,
*zaboulw/n,masculine,3.0,*zaboulw/n,
*)iwsh/f,masculine,3.0,*)iwsh/f,
*beniami/n,masculine,3.0,*beniami/n,
o)/xlos,masculine,2.0,o)/xlou,
foi=nic,masculine,3.0,foi/nikos,"foi/nikes, foini/kwn"
swthri/a,feminine,1.0,swthri/as,
kau=ma,neuter,3.0,kau/matos,kau=ma
phgh/,feminine,1.0,phgh=s,
da/kruon,neuter,2.0,dakru/ou,"da/kruon, da/krusi(n), dakru/wn"
sigh/,feminine,1.0,sigh=s,
h(miw/rion,neuter,2.0,h(miwri/ou,h(miw/rion
libanwto/s,masculine,2.0,libanwtou=,
kapno/s,masculine,2.0,kapnou=,
xa/laza,feminine,1.0,xala/zhs,
xo/rtos,masculine,2.0,xo/rtou,
ploi=on,neuter,2.0,ploi/ou,
potamo/s,masculine,2.0,potamou=,
*)/ayinqos,masculine,2.0,,
a)/yinqos,feminine,2.0,a)yi/nqou,a)/yinqon
mesoura/nhma,neuter,3.0,mesouranh/matos,mesouranh/mati
fre/ar,neuter,3.0,fre/atos,
a)/bussos,feminine,2.0,a)bu/ssou,
a)h/r,masculine,3.0,a)e/ros,
a)kri/s,feminine,3.0,a)kri/dos,"a)kri/des, a)kri/dwn, a)kri/das"
skorpi/os,masculine,2.0,skorpi/ou,
mh/n,masculine,3.0,mhno/s,"mh=nas, mh=na, mhni/"
basanismo/s,masculine,2.0,basanismou=,
o(moi/wma,neuter,3.0,o(moiw/matos,"o(moiw/mata, o(moiw/mati"
po/lemos,masculine,2.0,pole/mou,
xruso/s,masculine,2.0,xrusou=,
o)dou/s,masculine,3.0,o)do/ntos,
qw/rac,masculine,3.0,qw/rakos,
a(/rma,neuter,3.0,a(/rmatos,
ou)ra/,feminine,1.0,ou)ra=s,
ke/ntron,neuter,2.0,ke/ntrou,
*)abaddw/n,masculine,3.0,,
*)apollu/wn,masculine,3.0,,
ou)ai/,feminine,3.0,,
*eu)fra/ths,masculine,1.0,*eu)fra/tou,
e)niauto/s,masculine,2.0,e)niautou=,
stra/teuma,neuter,3.0,strateu/matos,
dismuria/s,feminine,3.0,dismuria/dos,dismuria/des
qei=on,neuter,2.0,qei/ou,
plhgh/,feminine,1.0,plhgh=s,
o)/fis,masculine,3.0,o)/fews,
daimo/nion,neuter,2.0,daimoni/ou,
ei)/dwlon,neuter,2.0,ei)dw/lou,
fo/nos,masculine,2.0,fo/nou,
fa/rmakon,neuter,2.0,farma/kou,farma/kwn
kle/mma,neuter,3.0,kle/mmatos,klemma/twn
biblari/dion,neuter,2.0,bibliaridi/ou,biblari/dion
profh/ths,masculine,1.0,profh/tou,
koili/a,feminine,1.0,koili/as,
me/li,neuter,3.0,me/litos,me/li
ka/lamos,masculine,2.0,kala/mou,
au)lh/,feminine,1.0,au)lh=s,
e)lai/a,feminine,1.0,e)lai/as,
u(eto/s,masculine,2.0,u(etou=,
ptw=ma,neuter,3.0,ptw/matos,"ptw=ma, ptw/mata"
*so/doma,neuter,2.0,*sodo/mwn,"*so/doma, *sodo/mois, *sodo/mwn"
*ai)/guptos,feminine,2.0,*ai)gu/ptou,
mnh=ma,neuter,3.0,mnh/matos,"mnh=ma, mnh/masi(n), mnh/mati"
dw=ron,neuter,2.0,dw/rou,"dw=ra, dw=ron, dw/rw|, dw/rois"
fo/bos,masculine,2.0,fo/bou,
ko/smos,masculine,2.0,ko/smou,
misqo/s,masculine,2.0,misqou=,
kibwto/s,feminine,2.0,kibwtou=,
diaqh/kh,feminine,1.0,diaqh/khs,
shmei=on,neuter,2.0,shmei/ou,
gasth/r,feminine,3.0,gastro/s,
dra/kwn,masculine,3.0,dra/kontos,
dia/dhma,neuter,3.0,diadh/matos,diadh/mata
*mixah/l,masculine,3.0,,
kath/gwr,masculine,3.0,,
qumo/s,masculine,2.0,qumou=,
spe/rma,neuter,3.0,spe/rmatos,
e)ntolh/,feminine,1.0,e)ntolh=s,
a)/mmos,feminine,2.0,a)/mmou,
pa/rdalis,feminine,3.0,parda/lews,parda/lei
a)/rkos,feminine,2.0,a)/rkou,
skhnh/,feminine,1.0,skhnh=s,
katabolh/,feminine,1.0,katabolh=s,
ai)xmalwsi/a,feminine,1.0,ai)xmalwsi/as,ai)xmalwsi/an
ei)kw/n,feminine,3.0,ei)ko/nos,
xa/ragma,neuter,3.0,xara/gmatos,"xa/ragma, xara/gmati"
nou=s,masculine,3.0,noo/s,
*siw/n,feminine,3.0,*siw/n,
kiqarw|do/s,masculine,2.0,kiqarw|dou=,kiqarw|dw=n
parqe/nos,masculine,2.0,parqe/nou,
a)parxh/,feminine,1.0,a)parxh=s,a)parxh/n
yeu=dos,neuter,3.0,yeu/dous,
eu)agge/lion,neuter,2.0,eu)aggeli/ou,
kri/sis,feminine,3.0,kri/sews,
*babulw/n,feminine,3.0,*babulw=nos,
poth/rion,neuter,2.0,pothri/ou,
dre/panon,neuter,2.0,drepa/nou,dre/panon
qerismo/s,masculine,2.0,qerismou=,
bo/trus,masculine,3.0,bo/truos,
a)/mpelos,feminine,2.0,a)mpe/lou,
stafulh/,feminine,1.0,stafulh=s,
lhno/s,feminine,2.0,lhnou=,
xalino/s,masculine,2.0,xalinou=,"xalinw=n, xalinou/s"
sta/dios,masculine,2.0,stadi/ou,"stadi/wn, stadi/ous"
*mwu+sh=s,masculine,1.0,*mwu+se/ws,
o(do/s,feminine,2.0,o(dou=,
dikai/wma,neuter,3.0,dikaiw/matos,
martu/rion,neuter,2.0,marturi/ou,
li/non,neuter,2.0,li/nou,li/non
sth=qos,neuter,3.0,sth/qous,"sth/qh, sth=qos"
e(/lkos,neuter,3.0,e(/lkous,"e(lkw=n, e(/lkh"
po/nos,masculine,2.0,po/nou,
yeudoprofh/ths,masculine,1.0,yeudoprofh/tou,
ba/traxos,masculine,2.0,batra/xou,ba/traxoi
a)sxhmosu/nh,feminine,1.0,a)sxhmosu/nhs,a)sxhmosu/nhn
*(armagedw/n,neuter,3.0,,*(armagedw/n
me/ros,neuter,3.0,me/rous,
kri/ma,neuter,3.0,kri/matos,
po/rnh,feminine,1.0,po/rnhs,
margari/ths,masculine,1.0,margari/tou,
bde/lugma,neuter,3.0,bdelu/gmatos,"bdelugma/twn, bde/lugma"
mh/thr,feminine,3.0,mhtro/s,
qau=ma,neuter,3.0,qau/matos,qau=ma
a)pw/leia,feminine,1.0,a)pwlei/as,
gnw/mh,feminine,1.0,gnw/mhs,
sa/rc,feminine,3.0,sarko/s,
katoikhth/rion,neuter,2.0,katoikhthri/ou,katoikhth/rion
o)/rneon,neuter,2.0,o)rne/ou,
