Lemma,POS,genitive_singular
δανιστής,noun,δανιστοῦ
δαπάνη,noun,δαπάνης
δεῖγμα,noun,δείγματος
δένδρον,noun,δένδρου
δεξιολάβος,noun,δεξιολάβου
Δέρβη,noun,Δέρβης
δέρμα,noun,δέρματος
δέσμη,noun,δέσμης
δέσμιος,noun,δεσμίου
δεσμοφύλαξ,noun,δεσμοφύλακος
δεσμώτης,noun,δεσμώτου
δεσπότης,noun,δεσπότου
Δημήτριος,noun,Δημητρίου
διάγνωσις,noun,διαγνώσεως
διάδημα,noun,διαδήματος
διάδοχος,noun,διαδόχου
διαίρεσις,noun,διαιρέσεως
διάκονος,noun,διακόνου
διάκρισις,noun,διακρίσεως
διάλεκτος,noun,διαλέκτου
διαμερισμός,noun,διαμερισμοῦ
διανόημα,noun,διανοήματος
διαπαρατριβή,noun,διαπαρατριβῆς
διαστολή,noun,διαστολῆς
διαταγή,noun,διαταγῆς
διάταγμα,noun,διατάγματος
διατροφή,noun,διατροφῆς
διαφθορά,noun,διαφθορᾶς
διδάσκαλος,noun,διδασκάλου
δίδραχμος,noun,διδράχμου
διέξοδος,noun,διεξόδου
διήγησις,noun,διηγήσεως
δικαίωσις,noun,δικαιώσεως
δικαστής,noun,δικαστοῦ
δίκη,noun,δίκης
δίκτυον,noun,δικτύου
διόρθωμα,noun,διορθώματος
Διόσκουροι,noun,Διοσκούρων
δισμυριάς,noun,δισμυριάδος
διχοστασία,noun,διχοστασίας
δίψος,noun,δίψους
διώκτης,noun,διώκτου
δόγμα,noun,δόγματος
δοκιμασία,noun,δοκιμασίας
δοκός,noun,δοκοῦ
δόμα,noun,δόματος
δότης,noun,δότου
δοχή,noun,δοχῆς
δραχμή,noun,δραχμῆς
δρέπανον,noun,δρεπάνου
δρόμος,noun,δρόμου
Δρούσιλλα,noun,Δρουσίλλης
δυνάστης,noun,δυνάστου
δυσεντέριον,noun,δυσεντερίου
δυσμή,noun,δυσμῆς
δῶρον,noun,δώρου
Ἑβραῖος,noun,Ἑβραίου
ἔγερσις,noun,ἐγέρσεως
ἐγκαίνια,noun,ἐγκαινίας
ἐγκοπή,noun,ἐγκοπῆς
ἐγώ,personal pronoun,μου/ἐμοῦ
ἐγώ,personal pronoun with kai,μου/ἐμοῦ
Ἑζεκίας,noun,Ἑζεκίου
ἐθελοθρησκία,noun,ἐθελοθρησκίας
ἔθος,noun,ἔθους
εἰδωλεῖον,noun,εἰδωλείου
εἰδωλολάτρης,noun,εἰδωλολάτρου
ἔκβασις,noun,ἐκβάσεως
ἐκβολή,noun,ἐκβολῆς
ἐκζήτησις,noun,ἐκζητήσεως
ἐκπλήρωσις,noun,ἐκπληρώσεως
ἐκτένεια,noun,ἐκτενείας
ἔκτρωμα,noun,ἐκτρώματος
Ἐλαμίτης,noun,Ἐλαμίτου
ἐλαφρία,noun,ἐλαφρίας
