Lemma,POS,future_active,aorist_active,perfect_active,perfect_middle,future_passive
ῥιζόω,verb,,,,ἐρρίζωμαι,
ῥίπτω,verb,,ἔρριψα,,ἔρριμμαι,
ῥύομαι,verb,ῥύσομαι,ἐρρυσάμην,,,ῥυσθήσομαι
ῥυπαρεύω,verb,,,,,ῥυπαρευθήσομαι
ῥώννυμι,verb,,,,ἔρρωμαι,
σαλεύω,verb,,ἐσάλευσα,,σεσάλευμαι,σαλευθήσομαι
σαλπίζω,verb,σαλπίσω,ἐσάλπισα,,,
σαρόω,verb,,,,σεσάρωμαι,
σβέννυμι,verb,σβέσω,ἔσβεσα,,,
σεβάζομαι,verb,,,,,σεβασθήσομαι
σείω,verb,,,,,σεισθήσομαι
σημαίνω,verb,,ἐσήμανα,,,
σήπω,verb,,,σέσηπα,,
σθενόω,verb,σθενώσω,,,,
σιγάω,verb,,ἐσίγησα,,,
σινιάζω,verb,,ἐσινίασα,,,
σιωπάω,verb,σιωπήσω,ἐσιώπησα,,,
σκανδαλίζω,verb,,ἐσκανδάλισα,,,
σκάπτω,verb,,ἔσκαψα,,,
σκηνόω,verb,σκηνήσω,ἐσκήνωσα,,,
σκιρτάω,verb,,ἐσκίρτησα,,,
σκληρύνω,verb,,ἐσκλήρυνον,,,σκληρυνθήσομαι
σκορπίζω,verb,,ἐσκόρπισα,,,σκορπισθήσομαι
σκοτίζω,verb,,,,,σκοτισθήσομαι
σκοτόω,verb,,,,ἐσκότωμαι,σκοτωθήσομαι
σκύλλω,verb,,,,ἔσκυλμαι,
σμυρνίζω,verb,,,,ἐσμύρνισμαι,
σοφίζω,verb,,ἐσόφισα,,σεσόφισμαι,
σπαράσσω,verb,,ἐσπάραξα,,,
σπαργανόω,verb,,ἐσπαργάνωσα,,ἐσπαργάνωμαι,
σπαταλάω,verb,,ἐσπατάλησα,,,
σταυρόω,verb,σταυρώσω,,,,
σπάω,verb,,ἔσπασα,,,
σπείρω,verb,,,,ἔσπαρμαι,σπαρήσομαι
σπεύδω,verb,,ἔσπευσα,,,
σπιλόω,verb,,,,ἐσπίλωμαι,
σπλαγχνίζω,verb,,,,,σπλαγχνισθήσομαι
σταυρόω,verb,,ἐσταύρωσα,,ἐσταύρωμαι,σταυρωθήσομαι
στενάζω,verb,,ἐστέναξα,,,
στερεόω,verb,,ἐστερέωσα,,,στερεωθήσομαι
