Lemma,POS,future_active,aorist_active,perfect_active,perfect_middle,future_passive
ἐξανίστημι,verb,,ἐξανέστησα,,,
ἐξαπατάω,verb,,ἐξηπάτησα,,,ἐξαπατηθήσομαι
ἐξαπορέω,verb,,,,,ἐξαπορηθήσομαι
ἐξαποστέλλω,verb,,ἐξαπέστειλα,,,ἐξαποσταλήσομαι
ἐξαρτίζω,verb,,ἐξήρτισα,,ἐξήρτισμαι,
ἐξεγείρω,verb,ἐξεγερῶ,,,,
ἐξεραυνάω,verb,,ἐξηραύνησα,,,
ἐξέρχομαι,verb,ἐξελεύσομαι,,ἐξελήλυθα,,
ἐξετάζω,verb,,ἐξέτασα,,,
ἐξηγέομαι,verb,,ἐξηγησάμην,,,
ἐξηχέω,verb,,,,ἐξήχημαι,
ἐξίστημι,verb,,ἐξέστησα/ἐξέστην,ἐξέστηκα,,
ἐξισχύω,verb,,ἐξίσχυσα,,,
ἐξολεθρεύω,verb,,,,,ἐξολεθρευθήσομαι
ἐξομολογέομαι,verb,ἐξομολογήσομαι,ἐξομολογησάμην,,,
ἐξορύσσω,verb,,ἐξώρυξα,,,
ἐξουδενέω,verb,,,,,ἐξουδενηθήσομαι
ἐξουθενέω,verb,,ἐξουθένησα,,ἐξουθένημαι,ἐξουθενηθήσομαι
ἐξυπνίζω,verb,,ἐξύπνισα,,,
ἐξωθέω,verb,,ἐξῶσα,,,
ἔοικα,verb,,,ἔοικα,,
ἐπαγγέλλω,verb,,ἐπηγγειλάμην,,ἐπήγγελμαι,
ἐπάγω,verb,,ἐπήγαγον,,,
ἐπαινέω,verb,,ἐπῄνεσα,,,
ἐπαίρω,verb,,ἐπῆρα,,,ἐπαρθήσομαι
ἐπαισχύνομαι,verb,,,,,ἐπαισχυνθήσομαι
ἐπακολουθέω,verb,,ἐπηκολούθησα,,,
ἐπανάγω,verb,,ἐπανήγαγον,,,
ἐπαναπαύω,verb,,,,,ἐπαναπαήσομαι
ἐπανέρχομαι,verb,,ἐπανῆλθον,,,
ἐπανίστημι,verb,ἐπαναστήσω,,,,
ἐπαρκέω,verb,,ἐπήρκεσα,,,
ἐπεγείρω,verb,,ἐπήγειρα,,,
ἐπεισέρχομαι,verb,ἐπεισελεύσομαι,,,,
ἐπενδύνω,verb,,ἐπενεδυσάμην,,,
ἐπέρχομαι,verb,ἐπελεύσομαι,ἐπῆλθον,,,
ἐπερωτάω,verb,,ἐπηρώτησα,,,ἐπερωτηθήσομαι
ἐπέχω,verb,,ἐπέσχον,,,
ἐπιβαίνω,verb,,,ἐπιβέβηκα,,
ἐπιβάλλω,verb,ἐπιβαλῶ,ἐπέβαλον,,,
ἐπιβαρέω,verb,,ἐπεβάρησα,,,
ἐπιβιβάζω,verb,,ἐπεβίβασα,,,
ἐπιβλέπω,verb,,ἐπέβλεψα,,,
ἐπιγαμβρεύω,verb,ἐπιγαμβρεύσω,,,,
ἐπιγίνομαι,verb,,ἐπεγενόμην,,,
ἐπιγινώσκω,verb,ἐπιγνώσομαι,ἐπέγνωσα,ἐπέγνωκα,,ἐπιγνωσθήσομαι
ἐπιγράφω,verb,,,,ἐπεγέγραμμαι,
ἐπιδείκνυμι,verb,,ἐπέδειξα,,,
ἐπιδίδωμι,verb,ἐπιδώσω,ἐπέδωκα,,,ἐπιδοθήσομαι
ἐπιδιορθόω,verb,,ἐπιδιώρθωσα,,,
ἐπιθυμέω,verb,ἐπιθυμήσω,,,,
ἐπιζητέω,verb,,ἐπεζήτησα,,,
ἐπικαθίζω,verb,,ἐπεκάθισα,,,
ἐπικαλέω,verb,,ἐπεκάλεσα,,ἐπεκέκλημαι,ἐπικληθήσομαι
ἐπικαλύπτω,verb,,,,,ἐπικαλυφθήσομαι
ἐπικέλλω,verb,,ἐπέκειλα,,,
ἐπικρίνω,verb,,ἐπέκρινα,,,
ἐπιλαμβάνω,verb,,ἐπέλαβον,,,
ἐπιλανθάνω,verb,,ἐπελαθόμην,,ἐπιλέλησμαι,
ἐπιλέγω,verb,,ἐπεῖπον,,,
ἐπιλείπω,verb,ἐπιλείψω,,,,
ἐπιλύω,verb,,,,,ἐπιλυθήσομαι
ἐπιμελέομαι,verb,,,,,ἐπιμεληθήσομαι
ἐπινεύω,verb,,ἐπένευσα,,,
ἐπιορκέω,verb,ἐπιορκήσω,,,,
ἐπιπίπτω,verb,,ἐπέπεσα,ἐπιπέπτωκα,,
ἐπιπλήσσω,verb,,ἐπέπληξα,,,
ἐπιποθέω,verb,,ἐπεπόθησα,,,
ἐπιρίπτω,verb,,ἐπέρριψα,,,
ἐπισκέπτομαι,verb,ἐπισκέψομαι,ἐπεσκεψάμην,,,
ἐπισκευάζω,verb,,ἐπεσκεύασα,,,
ἐπισκηνόω,verb,,ἐπεσκήνωσα,,,
ἐπισκιάζω,verb,ἐπισκιάσω,ἐπεσκίασα,,,
ἐπισπείρω,verb,,ἐπέσπειρα,,,
ἐπιστηρίζω,verb,,ἐπεστήριξα,,,
ἐπιστρέφω,verb,,,,,ἐπιστραφήσομαι
ἐπισυνάγω,verb,ἐπισυνάξω,ἐπεσύναξα,,ἐπισύνηγμαι,ἐπισυναχθήσομαι
ἐπισωρεύω,verb,ἐπισωρεύσω,,,,
ἐπιτάσσω,verb,,ἐπέταξα,,,
ἐπιτελέω,verb,ἐπιτελέσω,ἐπετέλεσα,,,
ἐπιτίθημι,verb,ἐπιθήσω,ἐπέθηκα,,,
ἐπιτιμάω,verb,,ἐπετίμησα,,,
ἐπιτρέπω,verb,,ἐπέτρεψα,,,ἐπιτραπήσομαι
ἐπιτυγχάνω,verb,,ἐπέτυχον,,,
ἐπιφαίνω,verb,,έπέφανα,,,έπιφανήσομαι
ἐπιφαύσκω,verb,ἐπιφαύσω,,,,
ἐπιφέρω,verb,,ἐπήνεγκα,,,
ἐπιχειρέω,verb,,ἐπεχείρησα,,,
ἐπιχορηγέω,verb,,ἐπεχορήγησα,,,ἐπιχορηγηθήσομαι
ἐπιχρίω,verb,,ἐπέχρισα,,,
ἐποικοδομέω,verb,,ἐπῳκοδόμησα,,,ἐποικοδομηθήσομαι
ἐποπτεύω,verb,,ἐπώπτευσα,,,
ἐραυνάω,verb,,ἐρηύνησα,,,
ἐργάζομαι,verb,,εἰργασάμην,,εἴργασμαι,
ἐρεθίζω,verb,,ἠρέθισα,,,
ἐρείδω,verb,,ἤρεισα,,,
ἐρεύγομαι,verb,ἐρεύξομαι,,,,
ἐρημόω,verb,,,,ἤρημωμαι,ἐρημωθήσομαι
ἐρίζω,verb,ἐρίσω,,,,
ἔρχομαι,verb,ἐλεύσομαι,,,,
ἐρωτάω,verb,,ἠρώτησα,,,
ἐσθίω,verb,φάγομαι,,,,
ἑτοιμάζω,verb,,ἡτοίμασα,,ἡτοίμασμαι,ἑτοιμασθήσομαι
εὐαγγελίζομαι,verb,,εὐηγγελισάμην,,εὐηγγέλισμαι,εὐαγγελισθήσομαι
εὐαρεστέω,verb,,εὐηρέστησα,εὐηρέστηκα,,
εὐθυδρομέω,verb,,εὐθυεδρόμησα,,,
εὐθύνω,verb,,ηὔθυνα,,,
εὐκαιρέω,verb,,εὐκαίρησα,,,
εὐλαβέομαι,verb,,,,,εὐλαβηθήσομαι
εὐλογέω,verb,,ηὐλόγησα,εὐλόγηκα,εὐλόγημαι,
εὐνουχίζω,verb,,εὐνούχισα,,,εὐνουχισθήσομαι
εὐπροσωπέω,verb,,ηὐπροσώπησα,,,
εὑρίσκω,verb,εὑρήσω,,,,εὑρεθήσομαι
εὐφορέω,verb,,εὐφόρησα,,,
εὐφραίνω,verb,,,,,εὐφρανθήσομαι
εὐχαριστέω,verb,,ηὐχαρίστησα,,,εὐχαριστηθήσομαι
εὔχομαι,verb,,εὐξάμην,,,
ἐφάλλομαι,verb,,ἐφαλόμην,,,
ἐφικνέομαι,verb,,ἐφικόμην,,,
ἐφίστημι,verb,,ἐπέστησα/ἐπέστην,ἐφέστηκα,,
ἐφοράω,verb,,ἐπεῖδον,,,
ἔχω,verb,ἕξω,,,,
ζάω,verb,ζήσω,,,,
ζηλόω,verb,,ἐζήλωσα,,,
ζημιόω,verb,,,,,ζημιωθήσομαι
ζητέω,verb,ζητήσω,ἐζήτησα,,,ζητηθήσομαι
ζυμόω,verb,,,,,ζυμωθήσομαι
ζωγρέω,verb,,,,ἐζωγρημαι,
ζώννυμι,verb,ζώσω,ἔζωσα,,,
ζῳογονέω,verb,ζῳογονήσω,,,,
ζῳοποιέω,verb,ζῳοποιήσω,ἐζῳοποίησα,,,ζῳοποιηθήσομαι
ἡγέομαι,verb,,ἡγησάμην,,,
ἥκω,verb,,ἥξα,ἥκα,,
ἡσυχάζω,verb,,ἡσύχασα,,,
ἡττάομαι,verb,,,,ἥττημαι,ἡσσωθήσομαι
θαμβέω,verb,,,,,θαμβηθήσομαι
θανατόω,verb,θανατώσω,ἐθανατωσα,,,θανατωθήσομαι
θάπτω,verb,,ἔθαψα,,,ταφήσομαι
θαρσέω,verb,,ἐθάρρησα,,,
θαυμάζω,verb,,,,,θαυμασθήσομαι
θεάομαι,verb,,ἐθεασάμην,,,θεαθήσομαι
θεμελιόω,verb,θεμελιώσω,ἐθεμελίωσα,,τεθεμελίωμαι,
θεραπεύω,verb,,ἐθεράπευσα,,τεθεράπευμαι,θεραπευθήσομαι
θερίζω,verb,θερίσω,ἐθέρισα,,,θερισθήσομαι
θεωρέω,verb,θεωρήσω,ἐθεώρησα,,,
θηλάζω,verb,,ἐθήλασα,,,
θηρεύω,verb,,ἐθήρευσα,,,
θησαυρίζω,verb,,ἐθησαύρισα,,τεθησαύρισμαι,
θιγγάνω,verb,,ἔθίγον,,,
θλίβω,verb,,,,τέθλιμμαι,
θνῄσκω,verb,,,τέθνηκα,,
θραύω,verb,,,,τέθραυσμ,
θρηνέω,verb,θρηνήσω,ἐθρήνησα,,,
θριαμβεύω,verb,,ἐθριάμβευσα,,,
θυμιάω,verb,,ἐθυμίασα,,,
θυμόω,verb,,,,,θυμωθήσομαι
θύω,verb,,ἔθυσα,,τέθυμαι,τυθήσομαι
ἰάομαι,verb,ἰάσομαι,ἰασάμην,,ἴαμαι,ἰαθήσομαι
ἱκανόω,verb,,ἱκάνωσα,,,
ἱλάσκομαι,verb,,,,,ἱλασθήσομαι
ἱματίζω,verb,,,,ἱμάτισμαι,
ἵστημι,verb,στήσω,ἔστησα/ἔστην,,,σταθήσομαι
ἱστορέω,verb,,ἱστόρησα,,,
ἰσχύω,verb,ἰσχύσω,ἴσχυσα,,,
καθαιρέω,verb,,καθεῖλον,,,
καθάπτω,verb,,καθῆψα,,,
καθαρίζω,verb,καθαριῶ,ἐκαθάρισα,,κεκαθάρισμαι,καθαρισθήσομαι
κάθημαι,verb,καθήσομαι,,,,
καθίζω,verb,καθίσω,,κεκάθικα,,
καθίημι,verb,,καθῆκα,,,
καθίστημι,verb,,κατέστησα,,,κατασταθήσομαι
καθοπλίζω,verb,,,,καθώπλισμαι,
καίω,verb,,,,κέκαυμαι,
κακολογέω,verb,,ἐκακολόγησα,,,
κακοπαθέω,verb,,ἐκακοπάθησα,,,
κακοποιέω,verb,,ἐκακοποίησα,,,
κακόω,verb,κακώσω,ἐκάκωσα,,,
καλέω,verb,,,κέκληκα,κέκλημαι,κληθήσομαι
καλύπτω,verb,καλύψω,ἐκάλυψα,,κεκάλυμμαι,
καμμύω,verb,,ἐκάμμυσα,,,
κάμνω,verb,,ἔκαμον,,,
κάμπτω,verb,κάμψω,ἔκαμψα,,,
καρποφορέω,verb,,ἐκαρποφόρησα,,,
καρτερέω,verb,,ἐκαρτέρησα,,,
καταβαίνω,verb,καταβήσομαι,,,,
καταγγέλλω,verb,,κατήγγειλα,,,καταγγελήσομαι
καταγινώσκω,verb,,,,κατέγνωσμαι,
κατάγνυμι,verb,κατεάξω,κατέαξα,,,κατεαγήσομαι
κατάγω,verb,,,,,καταχθήσομαι
καταγωνίζομαι,verb,,κατηγωνισάμην,,,
καταδέω,verb,,κατέδησα,,,
καταδικάζω,verb,,κατεδίκασα,,,καταδικασθήσομαι
καταδιώκω,verb,,κατεδίωξα,,,
καταδουλόω,verb,καταδουλώσω,,,,
καταισχύνω,verb,,,,,καταισχυνθήσομαι
κατακαίω,verb,κατακαύσω,κατέκαυσα,,,κατακαήσομαι
κατακλάω,verb,,κατέκλασα,,,
κατακληρονομέω,verb,,κατεκληρονόμησα,,,
κατακλίνω,verb,,κατέκλινα,,,κατακλιθήσομαι
κατακλύζω,verb,,,,,κατακλυσθήσομαι
κατακολουθέω,verb,,κατηκολούθησα,,,
κατακρημνίζω,verb,,κατεκρήμνισα,,,
κατακρίνω,verb,κατακρινῶ,κατέκρινα,,κατακέκριμαι,κατακριθήσομαι
κατακυριεύω,verb,,κατεκυρίευσα,,,
καταλαμβάνω,verb,,κατέλαβον,κατείληφα,,καταληφθήσομαι
καταλείπω,verb,καταλείψω,,,καταλέλειμμαι,καταλειφθήσομαι
καταλιθάζω,verb,καταλιθάσω,,,,
καταλλάσσω,verb,,κατήλλαξα,,,καταλλαγήσομαι
καταλύω,verb,,,,,καταλυθήσομαι
καταμανθάνω,verb,,κατέμαθον,,,
κατανεύω,verb,,κατένευσα,,,
κατανοέω,verb,,κατενόησα,,,
καταντάω,verb,,κατήντησα,κατήντηκα,,
κατανύσσω,verb,,,,,κατανυγήσομαι
καταξιόω,verb,,,,,καταξιωθήσομαι
καταπατέω,verb,καταπατήσω,κατεπάτησα,,,καταπατηθήσομαι
καταπαύω,verb,,κατέπαυσα,,,
καταπίνω,verb,,κατέπιον,,,καταποθήσομαι
καταπίπτω,verb,,κατέπεσα,,,
καταπλέω,verb,,κατέπλευσα,,,
καταποντίζω,verb,,,,,καταποντισθήσομαι
καταράομαι,verb,,κατήρασα,,κατήραμαι,
καταργέω,verb,καταργήσω,κατήργησα,,κατήργημαι,καταργηθήσομαι
καταριθμέω,verb,,,,κατηρίθμημαι,
καταρτίζω,verb,καταρτίσω,κατήρτισα,,κατήρτισμαι,
κατασείω,verb,,κατέσεισα,,,
κατασκάπτω,verb,,κατέσκαψα,,κατέσκαμμαι,
κατασκευάζω,verb,κατασκευάσω,κατεσκεύασα,,κατεσκεύασμαι,κατασκευασθήσομαι
κατασκηνόω,verb,κατασκηνώσω,κατεσκήνωσα,,,
κατασκοπέω,verb,,κατεσκόπησα,,,
κατασοφίζομαι,verb,,κατεσοφισάμην,,,
καταστέλλω,verb,,κατέστειλα,,κατέσταλμαι,
καταστρέφω,verb,,κατέστρεψα,,,
καταστρηνιάω,verb,,κατεστρηνίασα,,,
καταστρώννυμι,verb,,,,,καταστρωθήσομαι
κατασφάζω,verb,,κατέσφαξα,,,
κατασφραγίζω,verb,,,,κατεσφράγισμαι,
κατατίθημι,verb,,κατέθηκα,,,
κατατρέχω,verb,,κατέδραμον,,,
καταφέρω,verb,,,,,κατενεχθήσομαι
καταφεύγω,verb,,κατέφυγον,,,
καταφθείρω,verb,,,,κατέφθαρμαι,
καταφιλέω,verb,,κατεφίλησα,,,
καταφρονέω,verb,καταφρονήσω,κατεφρόνησα,,,
καταχέω,verb,,κατέχεα,,,
καταχράομαι,verb,,κατεχρησάμην,,,
καταψύχω,verb,,κατέψυξα,,,
κατεργάζομαι,verb,,κατειργασάμην,,κατείργασμαι,κατεργασθήσομαι
κατέρχομαι,verb,,κατῆλθον,,,
κατεσθίω,verb,καταφάγομαι,,,,
κατευθύνω,verb,,κατηύθυνα,,,
κατεφίσταμαι,verb,,κατεπέστησα,,,
κατέχω,verb,,κατέσχον,,,
κατηγορέω,verb,,κατηγόρησα,,,
κατηχέω,verb,,κατήχησα,,κατήχημαι,κατηχηθήσομαι
κατιόομαι,verb,,,,κατίωμαι,
κατισχύω,verb,κατισχύσω,κατίσχυσα,,,
κατοικέω,verb,,κατῴκησα,,,
κατοικίζω,verb,,κατῴκισα,,,
καυματίζω,verb,,ἐκαυμάτισαι,,,καυματισθήσομαι
καυστηριάζω,verb,,,,κεκαυστηρίασμαι,
καυχάομαι,verb,καυχήσομαι,ἐκαύχησα,,,
κείρω,verb,,ἔκειρα,,,
κενόω,verb,κενώσω,ἐκένωσα,,κεκένωμαι,κενωθήσομαι
κεράννυμι,verb,,ἐκέρασα,,κεκέρασμαι,
κερδαίνω,verb,κερδήσω,,,,κερδηθήσομαι
κεφαλιόω,verb,,ἐκεφαλίωσα,,,
κημόω,verb,κημώσω,,,,
κηρύσσω,verb,,ἐκήρυξα,,,κηρυχθήσομαι
κινέω,verb,,ἐκίνησα,,,κινηθήσομαι
κίχρημι,verb,,ἔχρησα,,,
κλαίω,verb,κλαύσω,ἔκλαυσα,,,
κλείω,verb,κλείσω,ἔκλεισα,,κέκλεισμαι,κλεισθήσομαι
κλέπτω,verb,κλέψω,ἔκλεψα,,,
κληρονομέω,verb,,ἐκληρονόμησα,κεκληρονόμηκα,,
κληρόω,verb,,,,,κληρωθήσομαι
κλίνω,verb,,ἔκλινα,κέκλικα,,
κοιμάω,verb,,,,κεκοίμημαι,κοιμηθήσομαι
κοινόω,verb,,ἐκοίνωσα,κεκοίνωκα,κεκοίνωμαι,
κοινωνέω,verb,,ἐκοινώνησα,κεκοινώνηκα,,
κολάζω,verb,,ἐκόλασα,,,
κολαφίζω,verb,,ἐκολάφισα,,,
κολλάω,verb,,,,,κολληθήσομαι
κολοβόω,verb,,ἐκολόβωσα,,,κολοβωθήσομαι
κομίζω,verb,κομίσομαι,ἐκόμισα,,,
κονιάω,verb,,,,κεκονίαμαι,
κοπάζω,verb,,ἐκόπασα,,,
κόπτω,verb,κόψω,ἔκοψα,,,
κορέννυμι,verb,,,,κεκόρεσμαι,κορεσθήσομαι
κοσμέω,verb,,ἐκόσμησα,,κεκόσμημαι,
κράζω,verb,κράξω,,κέκραγα,,
κραταιόω,verb,,,,,κραταιωθήσομαι
κρατέω,verb,κρατήσω,ἐκράτησα,κεκράτηκα,κεκράτημαι,
κραυγάζω,verb,κραυγάσω,ἐκραύγασα,,,
κρεμάννυμι,verb,,ἐκρέμασα,,,κρεμασθήσομαι
κρίνω,verb,,,,κέκριμαι,κριθήσομαι
κρούω,verb,,ἔκρουσα,,,
κρύπτω,verb,,,,κέκρυμμαι,κρυβήσομαι
κτάομαι,verb,,ἐκτησάμην,,,
κτίζω,verb,,ἔκτισα,,ἔκτισμαι,κτισθήσομαι
κυκλεύω,verb,,ἐκύκλευσα,,,
κυκλόω,verb,,ἐκύκλωσα,,,κυκλωθήσομαι
κύπτω,verb,,ἔκυψα,,,
κυριεύω,verb,κυριεύσω,ἐκυρίευσα,,,
κυρόω,verb,,ἐκύρωσα,,κεκύρωμαι,
κωλύω,verb,,ἐκώλυσα,,,κωλυθήσομαι
λαγχάνω,verb,,ἔλαχον,,,
λακάω,verb,,ἐλάκησα,,,
λαλέω,verb,,,,λελάλημαι,λαληθήσομαι
λαμβάνω,verb,λήμψομαι,,,,
λάμπω,verb,λάμψω,ἔλαμψα,,,
λανθάνω,verb,,ἔλαθον,,,
λατομέω,verb,,ἐλατόμησα,,λελατόμημαι,
λατρεύω,verb,λατρεύσω,ἐλάτρευσα,,,
λέγω,verb,,,,εἴρημαι,ῥηθήσομαι
λειτουργέω,verb,,ἐλειτούργησα,,,
λευκαίνω,verb,,ἐλεύκανα,,,
λιθάζω,verb,,ἐλίθασα,,,λιθασθήσομαι
λιθοβολέω,verb,,ἐλιθοβόλησα,,,λιθοβοληθήσομαι
λικμάω,verb,λικμήσω,,,,
λογίζομαι,verb,,ἐλογισάμην,,,λογισθήσομαι
λοιδορέω,verb,,ἐλοιδόρησα,,,
λούω,verb,,ἔλουσα,,λέλουμαι,
λυπέω,verb,,,λελύπηκα,,λυπηθήσομαι
λυτρόω,verb,,ἐλύτρωσα,,,λυτρωθήσομαι
λύω,verb,,ἔλυσα,,λέλυμαι,λυθήσομαι
μαθητεύω,verb,,ἐμαθήτευσα,,,μαθητευθήσομαι
μακαρίζω,verb,μακαριῶ,,,,
μακροθυμέω,verb,,ἐμακροθύμησα,,,
μανθάνω,verb,,,μεμάθηκα,,
μαραίνω,verb,,,,,μαρανθήσομαι
μαρτυρέω,verb,μαρτυρήσω,ἐμαρτύρησα,,μεμαρτύρημαι,μαρτυρηθήσομαι
μαστιγόω,verb,μαστιγώσω,ἐμαστίγωσα,,,
ματαιόω,verb,,,,,ματαιωθήσομαι
μεγαλύνω,verb,,ἐμεγάλυνα,,,μεγαλυνθήσομαι
μεθίστημι,verb,,μετέστησα,,,μετασταθήσομαι
μεθύω,verb,,,,,μεθυσθήσομαι
μελετάω,verb,,ἐμελέτησα,,,
μένω,verb,,ἔμεινα,μεμένηκα,,
μερίζω,verb,,ἐμέρισα,,μεμέρισμαι,μερισθήσομαι
μεριμνάω,verb,μεριμνήσω,ἐμερίμνησα,,,
μεσιτεύω,verb,,ἐμεσίτευσα,,,
μεστόω,verb,,,,μεμέστωμαι,
μεταβαίνω,verb,μεταβήσομαι,μετέβην,μεταβέβηκα,,
μεταβάλλω,verb,,μετέβαλον,,,
μεταδίδωμι,verb,,μετέδωκα,,,
μεταίρω,verb,,μετῆρα,,,
μετακαλέω,verb,μετακαλέσω,μετεκάλεσα,,,
μεταλαμβάνω,verb,,μετέλαβον,,,
μεταλλάσσω,verb,,μετήλλαξα,,,
μεταμέλομαι,verb,,,,,μεταμεληθήσομαι
μεταμορφόω,verb,,,,,μεταμορφωθήσομαι
μετανοέω,verb,μετανοήσω,μετενόησα,,,
μεταπέμπω,verb,,μετέπεμψα,,,μεταπεμφθήσομαι
μεταστρέφω,verb,,μετέστρεψα,,,μεταστραφήσομαι
μετασχηματίζω,verb,μετασχηματίσω,,,,
μετατίθημι,verb,,μετέθηκα,,,μετατεθήσομαι
μετατρέπω,verb,,,,,μετατραπήσομαι
μετέχω,verb,,μετέσχον,μετέσχηκα,,
μετοικίζω,verb,,μετῴκισα,,,
μετρέω,verb,,ἐμέτρησα,,,μετρηθήσομαι
μηνύω,verb,,ἐμήνυσα,,,μηνυθήσομαι
μιαίνω,verb,,,,μεμίαμαι,μιανθήσομαι
μίγνυμι,verb,,ἔμιξα,,μέμιγμαι,
μιμνῄσκω,verb,,,,μέμνησμαι,
μισέω,verb,μισήσω,,μεμίσηκα,μεμίσημαι,
μισθόω,verb,,ἐμίσθωσα,,,
μνημονεύω,verb,,ἐμνημόνευσα,,,
μνηστεύω,verb,,,,ἐμνήστευμαι,μνηστευθήσομαι
μοιχεύω,verb,μοιχεύσω,ἐμοίχευσα,,,μοιχευθήσομαι
μολύνω,verb,,ἐμόλυνα,,,μολυνθήσομαι
μονόω,verb,,,,μεμόνωμαι,
μορφόω,verb,,,,,μορφωθήσομαι
μοσχοποιέω,verb,,ἐμοσχοποίησα,,,
μυέω,verb,,,,μεμύημαι,
μυρίζω,verb,,ἐμύρισα,,,
μωμάομαι,verb,,ἐμώμησα,,,μωμηθήσομαι
μωραίνω,verb,,ἐμώρανα,,,μωρανθήσομαι
νεκρόω,verb,,ἐνέκρωσα,,νενέκρωμαι,
νεύω,verb,,ἔνευσα,,,
νηστεύω,verb,νηστεύσω,ἐνήστευσα,,,
νήφω,verb,,ἔνηψα,,,
νικάω,verb,νικήσω,,,,
νοέω,verb,,ἐνόησα,,,
νομίζω,verb,,ἐνόμισα,,,
νομοθετέω,verb,,,,νενομοθέτημαι,
νοσφίζω,verb,,ἐνόσφισα,,,
νύσσω,verb,,ἔνυξα,,,
νυστάζω,verb,,ἐνύσταξα,,,
ξενίζω,verb,,ἐξένισα,,,ξενισθήσομαι
ξενοδοχέω,verb,,ἐξενοδόχησα,,,
ξηραίνω,verb,,ἐξήρανα,,ἐξήραμαι,ξηρανθήσομαι
ξυράω,verb,ξυρήσω,ἐξύρασα,,ἐξύρημαι,
ὁδηγέω,verb,ὁδηγήσω,,,,
οἶδα,verb,εἰδήσω,,,,
οἰκοδομέω,verb,,ᾠκοδόμησα,,ᾠκοδόμημαι,οἰκοδομηθήσομαι
ὀκνέω,verb,,ᾤκνησα,,,
ὁμιλέω,verb,,ὡμίλησα,,,
ὁμοιόω,verb,,ὡμοίωσα,,,ὁμοιωθήσομαι
ὁμολογέω,verb,,ὡμολόγησα,,,
ὀνειδίζω,verb,,ὠνείδισα,,,
ὀνίνημι,verb,,ὠνινάμην,,,
ὀνομάζω,verb,,ὠνόμασα,,,ὀνομασθήσομαι
ὁπλίζω,verb,,ὥπλισα,,,
ὁράω,verb,ὄψομαι,,,,
ὀργίζω,verb,,,,,ὀργισθήσομαι
ὁρίζω,verb,,ὥρισα,,ὥρισμαι,ὁρισθήσομαι
ὁρμάω,verb,,ὥρμησα,,,
ὀρύσσω,verb,,ὤρυξα,,,
ὀρχέομαι,verb,,ὠρχησάμην,,,
ὀχλοποιέω,verb,,ὠχλοποίησα,,,
παγιδεύω,verb,,ἐπαγίδευσα,,,
παιδεύω,verb,,ἐπαίδευσα,,πεπαίδευμαι,παιδευθήσομαι
παίω,verb,,ἔπαισα,,,
παλαιόω,verb,,,πεπαλαίωκα,,παλαιωθήσομαι
παραβαίνω,verb,,παρέβην,,,
παραβάλλω,verb,,ὠνινάμην,,,
παραβιάζομαι,verb,,παρεβίασα,,,
παραβολεύομαι,verb,,παρεβολευσάμην,,,
παραγγέλλω,verb,,παρήγγειλα,,παρήγγελμαι,
παραγίνομαι,verb,,παρεγενόμην,,,
παραδέχομαι,verb,παραδέξομαι,,,,παραδεχθήσομαι
παραδίδωμι,verb,,,παραδέδωκα,παραδέδομαι,παραδοθήσομαι
παραζηλόω,verb,,παρεζήλωα,,,
παραιτέομαι,verb,,παρῃτησάμην,,παρῄτημαι,
παρακαθέζω,verb,,,,,παρακαθεσθήσομαι
παρακαλέω,verb,,,,παρακέκλημαι,παρακληθήσομαι
παρακαλύπτω,verb,,,,παρακεκάλυμμαι,
παρακολουθέω,verb,παρακολουθήσω,παρεκολούθησα,παρηκολούθηκα,,
παρακούω,verb,,παρήκουσα,,,
παρακύπτω,verb,,παρέκυψα,,,
παραλαμβάνω,verb,παραλήμψομαι,,,,παραλημφθήσομαι
παραλύω,verb,,,,παραλέλυμαι,
