parsing_atom_head,parsing_atom_dependent,position
*)ihsou=_N----VSM,ku/rie_N----VSM,before
*)ihsou=_N----VSM,ui(e/_N----VSM,after
*)ihsou=n_N----ASM,*barabba=n_N----ASM,after
*)ihsou=n_N----ASM,ku/rion_N----ASM,after
*)ihsou=n_N----ASM,*nazwrai=on_N----ASM,after
i(ma/tia_N----APN,au)tou=_E----GSM,after
i(mati/ois_N----DPN,malakoi=s_A----DPN,before
i(ma/tion_N----ASN,sou_E----GS-,after
*)iou/das_N----NSM,kai/_B-------,before
*)iou/das_N----NSM,paradidou/s_V-PAPNSM,after
i)xqu/dia_N----APN,o)li/ga_A----APN,before
i)xqu/as_N----APM,du/o_A----APM,before
i)xqu/n_N----ASM,kai/_B-------,before
i)/xnesi(n)_N----DPN,au)toi=s_A----DPN,before
*)iwa/nnou_N----GSM,bapti/zontos_V-PAPGSM,after
*kai+a/fan_N----ASM,a)rxiere/a_N----ASM,after
ka/lamon_N----ASM,saleuo/menon_V-PPPASM,after
kardi/a_N----NSF,u(mw=n_E----GP-,before
kardi/a|_N----DSF,sou_E----GS-,after
kardi/an_N----ASF,u(mw=n_E----GP-,after
karpo/n_N----ASM,au)tou=_E----GSM,after
karpo/n_N----ASM,ti/na_I----ASM,before
karpw=n_N----GPM,au)tw=n_E----GPM,after
kata/qema_N----NSN,pa=n_A----NSN,before
kau/xhma_N----NSN,u(mw=n_E----GP-,after
*kafarnaou/m_N----ASF,po/lin_N----ASF,after
ke/ntron_N----NSN,sou_E----GS-,before
kefalh/n_N----ASF,*)iwa/nnou_N----GSM,after
kefalh=s_N----GSF,u(mw=n_E----GP-,after
klh/sei_N----DSF,e)klh/qh_V3API-S-,after
kli/mata_N----APN,kai/_C-------,after
koimh/sews_N----GSF,u(/pnou_N----GSM,after
kra/tos_N----ASN,kuri/ou_N----GSM,after
kri/ma_N----ASN,diabo/lou_A----GSM,after
kri/ma_N----NSN,w(=n_R----GPM,before
kri/sews_N----GSF,gee/nnhs_N----GSF,after
kri/sin_N----ASF,dikai/an_A----ASF,before
kritai/_N----NPM,u(mw=n_E----GP-,any
kti/sis_N----NSF,kainh/_A----NSF,before
ku/rie_N----VSM,mou_E----GS-,after
ku/rion_N----ASM,h(mw=n_E----GP-,after
ku/rios_N----NSM,a)mpelw=nos_N----GSM,after
ku/rios_N----NSM,sabba/tou_N----GSN,after
kuri/ou_N----GSM,h(mw=n_E----GP-,after
kuri/ou_N----GSM,*)ihsou=_N----GSM,after
kuri/w|_N----DSM,au)tou=_E----GSM,after
kw=la_N----NPN,w(=n_R----GPM,before
kw/mas_N----APF,ku/klw|_B-------,after
kw/mhn_N----ASF,e(te/ran_A----ASF,before
lalia/n_N----ASF,e)mh/n_A----ASF,after
lao/n_N----ASM,au)tou=_E----GSM,after
lao/n_N----ASM,proe/gnw_V3AAI-S-,after
lao/s_N----NSM,pa=s_A----NSM,before
laou=_N----GSM,au)tou=_E----GSM,after
li/mnh_N----NSF,puro/s_N----GSN,after
lo/gia_N----APN,qeou=_N----GSM,after
lo/goi_N----NPM,a)lhqinoi/_A----NPM,after
lo/goi_N----NPM,qeou=_N----GSM,after
lo/gois_N----DPM,au)tou=_E----GSM,after
lo/gois_N----DPM,tou/tois_M----DPM,after
lo/gon_N----ASM,au)to/n_A----ASM,before
lo/gon_N----ASM,e)mo/n_A----ASM,after
lo/gon_N----ASM,peri/_P-------,before
lo/gon_N----ASM,sou_E----GS-,after
lo/gos_N----NSM,qeou=_N----GSM,after
lo/gous_N----APM,tou/tous_M----APM,after
*louka=s_N----NSM,a)gaphto/s_A----NSM,after
*louka=s_N----NSM,i)atro/s_N----NSM,after
lu/xnos_N----NSM,sw/matos_N----GSN,after
maqhtai/_N----NPM,a)/lloi_A----NPM,before
maqhtai/_N----NPM,au)tou=_E----GSM,any
maqhtai/_N----NPM,*)iwa/nnou_N----GSM,after
maqhtai/_N----NPM,kai/_B-------,before
maqhtai/_N----NPM,pa/ntes_A----NPM,any
