lemma,gender,declension,gs
summimhth/s,masculine,,summimhtou=
poli/teuma,neuter,3,
*eu)odi/a,feminine,,*eu)odi/as
*suntu/xh,feminine,,*suntu/xhs
no/hma,neuter,3,noh/matos
*filipph/sios,masculine,,*filipphsi/ou
de/smios,masculine,,desmi/ou
*filh/mwn,masculine,,*filh/monos
*)apfi/a,feminine,,*)apfi/as
*)/arxippos,masculine,,*)arxi/ppou
*)onh/simos,masculine,,*)onhsi/mou
ceni/a,feminine,,ceni/as
*)epafra=s,masculine,3,
*dhma=s,masculine,3,
*louka=s,masculine,3,
tekmh/rion,neuter,,tekmhri/ou
u(perw=|on,neuter,,u(perw/|ou
dia/lektos,feminine,,diale/ktou
*(akeldama/x,neuter,,*(akeldama/x
*barsabba=s,masculine,3,*barsabba=
*maqqi/as,masculine,1,*maqqi/ou
kardiognw/sths,masculine,,kardiognw/stou
*pa/rqos,masculine,,*pa/rqou
*mh=dos,masculine,,*mh/dou
*)elami/ths,masculine,,*)elami/tou
*frugi/a,feminine,,*frugi/as
*kurh/nh,feminine,,*kurh/nhs
prosh/lutos,masculine,,proshlu/tou
*krh/s,masculine,3,*krhto/s
*)/aray,masculine,,*)/arabos
e)nu/pnion,neuter,,e)nupni/ou
pro/gnwsis,feminine,,prognw/sews
diafqora/,feminine,,diafqora=s
kth=ma,neuter,3,kth/matos
u(/parcis,feminine,,u(pa/rcews
a)felo/ths,feminine,3,a)felo/thtos
ba/sis,feminine,,ba/sews
sfudro/n,neuter,,sfudrou=
a)rxhgo/s,masculine,,a)rxhgou=
o(loklhri/a,feminine,,o(loklhri/as
oi)kodo/mos,masculine,,oi)kodo/mou
kth/twr,masculine,,kth/toros
*ku/prios,masculine,,*kupri/ou
*(anani/as,masculine,,*(anani/ou
*sa/pfira,feminine,,*sapfi/rhs
dia/sthma,neuter,3,
*stoa/,feminine,,*stoa=s
klina/rion,neuter,,klinari/ou
gerousi/a,feminine,,gerousi/as
fu/lac,masculine,,fu/lakos
*qeuda=s,masculine,3,
*(ellhnisth/s,masculine,,*(ellhnistou=
*pro/xoros,masculine,,*proxo/rou
*ti/mwn,masculine,,*ti/mwnos
*parmena=s,masculine,,*parmena=
*niko/laos,masculine,,*nikola/ou
*)antioxeu/s,masculine,,*)antioxe/ws
*liberti=nos,masculine,,*liberti/nou
*)alecandreu/s,masculine,,*)alecandre/ws
*xarra/n,feminine,,*xarra/n
kata/sxesis,feminine,,katasxe/sews
xo/rtasma,neuter,3,xorta/smatos
siti/on,neuter,,siti/ou
*suxe/m,feminine,,*suxe/m
*sina=,neuter,3,
lutrwth/s,masculine,,lutrwtou=
*qa/lassa,feminine,,*qala/sshs
sfa/gion,neuter,,sfagi/ou
a)nai/resis,feminine,,a)naire/sews
magei/a,feminine,,magei/as
su/ndesmos,masculine,,sunde/smou
*ga/za,feminine,,*ga/zas
*ai)qi/oy,masculine,,*ai)qi/opos
eu)nou=xos,masculine,,eu)nou/xou
*saou/l,masculine,,*saou/l
*tarseu/s,masculine,,*tarse/ws
lepi/s,feminine,,lepi/dos
spuri/s,feminine,,spuri/dos
*tarso/s,feminine,,*ta/rsou
*ai)ne/as,masculine,,*ai)ne/ou
*sarw/n,masculine,,*sarw/nos
*tabiqa/,feminine,,*tabiqa/
*dorka/s,feminine,3,
mnhmo/sunon,neuter,,mnhmosu/nou
o)qo/nh,feminine,,o)qo/nhs
*xristiano/s,masculine,,*xristianou=
tetra/dion,neuter,,tetradi/ou
oi)/khma,neuter,3,oi)kh/matos
sanda/lion,neuter,,sandali/ou
*tu/rios,masculine,,*turi/ou
*bla/stos,masculine,,*bla/stou
*salami/s,feminine,,*salami/nos
ma/gos,masculine,,ma/gou
*se/rgios,masculine,,*sergi/ou
*)elu/mas,masculine,3,
xeiragwgo/s,masculine,,xeiragwgou=
a)na/gnwsis,feminine,,a)nagnw/sews
katafronhth/s,masculine,,katafronhtou=
*lu/stra,feminine,,*lu/stras
*de/rbh,feminine,,*de/rbhs
*lu/stra,neuter,,
ste/mma,neuter,3,ste/mmatos
*pisidi/a,feminine,,*pisidi/as
*)atta/leia,feminine,,*)attalei/as
e)pistrofh/,feminine,,e)pistrofh=s
a)li/sghma,neuter,3,a)lisgh/matos
*sila=s,masculine,3,*sila=
parocusmo/s,masculine,,parocusmou=
*musi/a,feminine,,*musi/as
*samoqra/|kh,feminine,,*samoqra/|khs
*po/lis,feminine,,*po/lews
*ludi/a,feminine,,*ludi/as
pu/qwn,masculine,,puqw/nos
desmofu/lac,masculine,,desmofu/lakos
qeme/lion,neuter,,qemeli/ou
r(abdou=xos,masculine,,r(abdou/xou
*)amfi/polis,feminine,,*)amfipo/lews
*)apollwni/a,feminine,,*)apollwni/as
polita/rxhs,masculine,,polita/rxou
*be/roia,feminine,,*beroi/as
*(ellhni/s,feminine,,*(ellhni/dos
*)epikou/reios,masculine,,*)epikourei/ou
filo/sofos,masculine,,filoso/fou
o(roqesi/a,feminine,,o(roqesi/as
*pri/skilla,feminine,,*priski/llas
skhnopoio/s,masculine,,skhnopoiou=
*kori/nqios,masculine,,*korinqi/ou
simiki/nqion,neuter,,simikinqi/ou
e)corkisth/s,masculine,,e)corkistou=
*skeua=s,masculine,3,
eu)pori/a,feminine,1,
a)pelegmo/s,masculine,,a)pelegmou=
sune/kdhmos,masculine,,sunekdh/mou
*)asia/rxhs,masculine,,*)asia/rxou
newko/ros,masculine,,newko/rou
*(ella/s,feminine,3,*(ella/dos
*)asiano/s,masculine,,*)asianou=
*tuxiko/s,masculine,,*tuxikou=
*tro/fimos,masculine,,*trofi/mou
*)=assos,feminine,,*)/assou
*mitulh/nh,feminine,,*mitulh/nhs
a)/ficis,feminine,,a)fi/cews
trieti/a,feminine,,trieti/as
*kw/s,feminine,,*kw=
*pa/tara,neuter,,*pata/ras
*ptolemai/+s,feminine,,*ptolemai/+dos
*mna/swn,masculine,,*mna/swnos
e)kplh/rwsis,feminine,,e)kplhrw/sews
a)nabaqmo/s,masculine,,a)nabaqmou=
sika/rios,masculine,,sikari/ou
e)/dafos,neuter,,e)da/fous
sunwmosi/a,feminine,,sunwmosi/as
