parsing_atom_head,parsing_atom_dependent,position
e)reqi/zete_V2PAM-P-,mh/_B-------,immediately_before
e)/lqh|_V3AAS-S-,mh/_B-------,immediately_before
e)/lqh|_V3AAS-S-,ou)_B-------,before
e)cousiasqh/somai_V1FPI-S-,ou)_B-------,before
e)rga/zesqai_V-PMN---,mh/_B-------,immediately_before
e)rga/zetai_V3PMI-S-,ou)_B-------,immediately_before
e)ri/sei_V3FAI-S-,ou)_B-------,immediately_before
e)sqi/ei_V3PAI-S-,ou)_B-------,immediately_before
e)/fage(n)_V3AAI-S-,ou)_B-------,immediately_before
fa/goi_V3AAO-S-,mhke/ti_B-------,before
eu)kai/roun_V3IAI-P-,ou)de/_B-------,before
eu(re/qhsan_V3API-P-,ou)_B-------,immediately_before
eu(rh/sete_V2FAI-P-,ou)_B-------,immediately_before
e)/xei_V3PAI-S-,ou)_B-------,immediately_before
e)/xeis_V2PAI-S-,ou)_B-------,immediately_before
e)/xeis_V2PAI-S-,ou)/pw_B-------,immediately_before
e)/xete_V2PAI-P-,mh/_B-------,before
e)/xete_V2PAI-P-,ou)_B-------,immediately_before
e)/xete_V2PAI-P-,ou)/pw_B-------,immediately_before
e)/xh|_V3PAS-S-,mh/_B-------,immediately_before
e)/xomen_V1PAI-P-,mh/_B-------,before
e)/xomen_V1PAI-P-,ou)_B-------,immediately_before
e)/xontas_V-PAPAPM,mh/_B-------,immediately_before
e)/xontes_V-PAPNPM,mh/_B-------,immediately_before
e)xo/ntwn_V-PAPGPM,mh/_B-------,immediately_before
e)/xousi(n)_V3PAI-P-,mh/_B-------,before
e)/xousi(n)_V3PAI-P-,ou)_B-------,before
e)/xw_V1PAI-S-,ou)_B-------,immediately_before
e)/zhsan_V3AAI-P-,ou)_B-------,immediately_before
zh/tei_V2PAM-S-,mh/_B-------,immediately_before
zhtw=_V1PAI-S-,ou)_B-------,immediately_before
qauma/zete_V2PAM-P-,mh/_B-------,immediately_before
qauma/sh|s_V2AAS-S-,mh/_B-------,immediately_before
h)/qele(n)_V3IAI-S-,ou)_B-------,immediately_before
qe/leis_V2PAI-S-,mh/_B-------,before
qe/lete_V2PAI-P-,mh/_B-------,before
qe/lontos_V-PAPGSM,ou)_B-------,before
qe/lw_V1PAI-S-,ou)_B-------,immediately_before
qu/ein_V-PAN---,mh/_B-------,immediately_before
i)/sxusan_V3AAI-P-,ou)_B-------,immediately_before
i)/sxusas_V2AAI-S-,ou)_B-------,immediately_before
e)kaqari/sqhsan_V3API-P-,ou)xi/_L-------,before
e)ka/lese(n)_V3AAI-S-,ou)_B-------,before
e)/kamyan_V3AAI-P-,ou)_B-------,immediately_before
kateba/rhsa_V1AAI-S-,ou)_B-------,immediately_before
katadunasteu/ousi(n)_V3PAI-P-,ou)_B-------,before
kata/lue_V2PAM-S-,mh/_B-------,before
kataluqh/setai_V3FPI-S-,ou)_B-------,immediately_before
kataluqh=|_V3APS-S-,mh/_B-------,immediately_before
kataluqh=|_V3APS-S-,ou)_B-------,before
katara=sqe_V2PMM-P-,mh/_B-------,immediately_before
katargh/sei_V3FAI-S-,mh/_B-------,before
katapatei=sqai_V-PPN---,mh/_B-------,before
khmw/seis_V2FAI-S-,ou)_B-------,immediately_before
klai=e_V2PAM-S-,mh/_B-------,immediately_before
klai/ete_V2PAM-P-,mh/_B-------,immediately_before
kle/ptein_V-PAN---,mh/_B-------,immediately_before
klhronomh/sousi(n)_V3FAI-P-,ou)_B-------,immediately_before
e)kolo/bwse(n)_V3AAI-S-,mh/_B-------,immediately_before
kekopi/aka_V1RAI-S-,mh/_B-------,before
e)krath/sate_V2AAI-P-,ou)_B-------,immediately_before
kri/nete_V2PAM-P-,mh/_B-------,immediately_before
kri/nete_V2PAI-P-,ou)_B-------,immediately_before
kri/nete_V2PAI-P-,ou)xi/_L-------,before
kri/nw_V1PAI-S-,ou)_B-------,immediately_before
kurieu/sei_V3FAI-S-,ou)_B-------,immediately_before
lalei=s_V2PAI-S-,ou)_B-------,immediately_before
lalou=si(n)_V3PAI-P-,mh/_B-------,before
lalw=_V1PAI-S-,mh/_B-------,before
e)/labe(n)_V3AAI-S-,ou)_B-------,immediately_before
e)/labes_V2AAI-S-,ou)_B-------,immediately_before
e)la/bomen_V1AAI-P-,ou)_B-------,immediately_before
labw/n_V-AAPNSM,mh/_B-------,immediately_before
ei)=pon_V1AAI-S-,ou)_B-------,before
e)rei=_V3FAI-S-,mh/_B-------,immediately_before
le/gei_V3PAI-S-,ou)_B-------,immediately_before
le/gete_V2PAI-P-,ou)_B-------,before
le/gw_V1PAI-S-,ou)_B-------,before
le/gw_V1PAI-S-,ou)de/_B-------,before
memaqhkw/s_V-RAPNSM,mh/_B-------,immediately_before
e)/mene(n)_V3IAI-S-,ou)xi/_L-------,before
me/lei_V3PAI-S-,mh/_B-------,before
mele/tw_V3PAM-S-,mh/_B-------,before
me/llei_V3PAI-S-,mh/_B-------,before
merimnh/shte_V2AAS-P-,mh/_B-------,before
metabai/nete_V2PAM-P-,mh/_B-------,immediately_before
metanoh=te_V2PAS-P-,mh/_B-------,immediately_before
mimou=_V2PMM-S-,mh/_B-------,immediately_before
mnhmoneu/ete_V2PAI-P-,ou)_B-------,immediately_before
moixeu/ein_V-PAN---,mh/_B-------,immediately_before
moixeu/seis_V2FAI-S-,ou)_B-------,immediately_before
e)mw/rane(n)_V3AAI-S-,ou)xi/_L-------,immediately_before
nikw=_V2PPM-S-,mh/_B-------,immediately_before
ni/ptontai_V3PMI-P-,ou)_B-------,before
ni/yh|s_V2AAS-S-,mh/_B-------,immediately_before
ni/yh|s_V2AAS-S-,ou)_B-------,before
ni/yw_V1AAS-S-,mh/_B-------,immediately_before
noei=te_V2PAI-P-,ou)_B-------,immediately_before
o(dhgh/sei_V3FAI-S-,mh/_B-------,before
oi)kodomei=_V3PAI-S-,ou)_B-------,before
e(o/raka_V1RAI-S-,ou)xi/_L-------,before
e(w/rake(n)_V3RAI-S-,ou)_B-------,immediately_before
i)do/ntes_V-AAPNPM,mh/_B-------,immediately_before
pare/labon_V3AAI-P-,ou)_B-------,immediately_before
pareleu/sontai_V3FMI-P-,mh/_B-------,immediately_before
pareleu/sontai_V3FMI-P-,ou)_B-------,before
pare/lqwsi(n)_V3AAS-P-,mh/_B-------,immediately_before
pare/lqwsi(n)_V3AAS-P-,ou)_B-------,before
pei/qesqai_V-PPN---,mh/_B-------,immediately_before
peiqome/nou_V-PPPGSM,mh/_B-------,immediately_before
periepath/samen_V1AAI-P-,ou)_B-------,before
peritemne/sqw_V3PPM-S-,mh/_B-------,immediately_before
pikrai/nesqe_V2PPM-P-,mh/_B-------,immediately_before
pesei=tai_V3FMI-S-,ou)_B-------,immediately_before
e)pi/steuon_V3IAI-P-,ou)de/_B-------,before
e)pi/steusan_V3AAI-P-,ou)_B-------,immediately_before
e)pi/steuse(n)_V3AAI-S-,mh/_B-------,before
e)pisteu/sate_V2AAI-P-,ou)_B-------,immediately_before
pisteu/eis_V2PAI-S-,ou)_B-------,immediately_before
pisteu/ete_V2PAI-P-,ou)_B-------,immediately_before
pisteu/ousi(n)_V3PAI-P-,ou)_B-------,immediately_before
pepla/nhsqe_V2RPI-P-,mh/_B-------,before
plana=sqe_V2PPM-P-,mh/_B-------,immediately_before
e)pleone/kthsa_V1AAI-S-,mh/_B-------,before
e)pleone/kthse(n)_V3AAI-S-,mh/ti_L-------,immediately_before
ploutw=n_V-PAPNSM,mh/_B-------,before
e)poi/hse(n)_V3AAI-S-,ou)_B-------,before
e)poi/hse(n)_V3AAI-S-,ou)xi/_L-------,before
poiei=te_V2PAI-P-,ou)_B-------,immediately_before
poih/santi_V-AAPDSM,mh/_B-------,immediately_before
poih/swsi(n)_V3AAS-P-,mh/_B-------,before
poiou=n_V-PAPNSN,mh/_B-------,immediately_before
poiou=nti_V-PAPDSM,mh/_B-------,immediately_before
poiou=si(n)_V3PAI-P-,ou)xi/_L-------,before
purou=mai_V1PPI-S-,ou)_B-------,before
pwlei=tai_V3PPI-S-,ou)xi/_L-------,before
pwlou=ntai_V3PPI-P-,ou)xi/_L-------,before
skandalisqh=te_V2APS-P-,mh/_B-------,immediately_before
sugxrw=ntai_V3PMI-P-,ou)_B-------,before
sulle/gousi(n)_V3PAI-P-,mh/ti_L-------,immediately_before
sumfe/rei_V3PAI-S-,ou)_B-------,before
sumfe/ron_V-PAPNSN,ou)_B-------,immediately_before
sunapw/leto_V3AMI-S-,ou)_B-------,immediately_before
sune/rxhsqe_V2PMS-P-,mh/_B-------,before
sunh=kan_V3AAI-P-,ou)_B-------,immediately_before
suntribh/setai_V3FPI-S-,ou)_B-------,immediately_before
e)sw/qh_V3API-S-,ou)_B-------,before
tarasse/sqw_V3PPM-S-,mh/_B-------,immediately_before
tele/shte_V2AAS-P-,mh/_B-------,immediately_before
tele/shte_V2AAS-P-,ou)_B-------,before
tima=|_V3PAI-S-,ou)_B-------,immediately_before
timw=n_V-PAPNSM,mh/_B-------,immediately_before
e)to/lma_V3IAI-S-,ou)_B-------,immediately_before
u(ywqh/sh|_V2FPI-S-,mh/_B-------,before
e)fanerw/qh_V3API-S-,ou)/pw_B-------,immediately_before
h)/negke(n)_V3AAI-S-,mh/_B-------,before
