parsing_atom_head,parsing_atom_dependent,position
ei)=_V2PAI-S-,*)hli/as_N----NSM,before
ei)=_V2PAI-S-,profh/ths_N----NSM,before
ei)=_V2PAI-S-,ti/s_I----NSM,before
ei)mi/_V1PAI-S-,a)po/stolos_N----NSM,after
ei)mi/_V1PAI-S-,e)leu/qeros_A----NSM,after
ei)=nai_V-PAN---,a)meri/mnous_A----APM,before
ei)si/(n)_V3PAI-P-,dia/konoi_N----NPM,before
ei)si/(n)_V3PAI-P-,*(ebrai=oi_N----NPM,before
ei)si/(n)_V3PAI-P-,*)israhli=tai_N----NPM,before
ei)si/(n)_V3PAI-P-,spe/rma_N----NSN,before
e)/sesqe_V2FMI-P-,lalou=ntes_V-PAPNPM,after
e)sme/n_V1PAI-P-,e(/n_A----NSN,before
e)sme/n_V1PAI-P-,i)sxuro/teroi_A----NPM,before
e)/sontai_V3FMI-P-,kritai/_N----NPM,before
e)ste/_V2PAI-P-,a)do/kimoi_A----NPM,before
e)ste/_V2PAI-P-,a)no/htoi_A----NPM,before
e)ste/_V2PAI-P-,deiloi/_A----NPM,before
e)ste/_V2PAI-P-,fw=s_N----NSN,after
e)sti/(n)_V3PAI-S-,a)nagagei=n_V-AAN---,after
e)sti/(n)_V3PAI-S-,dia/bolos_A----NSM,before
e)sti/(n)_V3PAI-S-,e)/ndikon_A----NSN,before
e)sti/(n)_V3PAI-S-,e)ntolh/_N----NSF,before
e)sti/(n)_V3PAI-S-,e)pa/nw_P-------,before
e)sti/(n)_V3PAI-S-,i(kano/n_A----NSN,before
e)sti/(n)_V3PAI-S-,ku/rios_N----NSM,before
e)sti/(n)_V3PAI-S-,pou=_B-------,before
e)sti/(n)_V3PAI-S-,profh/ths_N----NSM,before
e)sti/(n)_V3PAI-S-,*(rwmai=os_A----NSM,before
e)sti/(n)_V3PAI-S-,ti/_I----NSN,before
e)sti/(n)_V3PAI-S-,ti/s_I----NSM,before
e)sti/(n)_V3PAI-S-,ui(o/s_N----NSM,before
e)sti/(n)_V3PAI-S-,w(=de_B-------,after
h)=n_V3IAI-S-,e)n_P-------,after
h)=n_V3IAI-S-,lh|sth/s_N----NSM,after
h)=n_V3IAI-S-,*ma/lxos_N----NSM,after
h)=n_V3IAI-S-,mo/nos_A----NSM,before
h)=n_V3IAI-S-,nu/c_N----NSF,after
h)=s_V2IAI-S-,h)/_C-------,after
h)=san_V3IAI-P-,a)/ndres_N----NPM,after
h)=san_V3IAI-P-,a)pestalme/noi_V-RPPNPM,before
h)=san_V3IAI-P-,w(s_P-------,after
o)/nti_V-PAPDSM,h)/_C-------,after
ei)sh=lqe(n)_V3AAI-S-,mei=nai_V-AAN---,after
ei)skalesa/menos_V-AMPNSM,au)tou/s_E----APM,after
ei)sporeu/ontai_V3PMI-P-,ei)s_P-------,after
e)lpiou=si(n)_V3FAI-P-,o)no/mati_N----DSN,before
e)ce/balon_V3AAI-P-,au)to/n_E----ASM,after
e)ce/balon_V3AAI-P-,e)/cw_B-------,after
e)mpesou=ntai_V3FMI-P-,ei)s_P-------,before
e)nte/llomai_V1PMI-S-,tau=ta_M----APN,before
e)nte/llomai_V1PMI-S-,u(mi=n_E----DP-,after
e)ca/gousi(n)_V3PAI-P-,au)to/n_E----ASM,after
e)ca/rate_V2AAM-P-,e)k_P-------,after
e)ca/rate_V2AAM-P-,ponhro/n_A----ASM,after
e)celqw/n_V-AAPNSM,e)/cw_B-------,after
e)ch/lqate_V2AAI-P-,i)dei=n_V-AAN---,after
e)ch=lqe(n)_V3AAI-S-,spei=rai_V-AAN---,after
e)/cesti(n)_V3PAI-S-,poiei=n_V-PAN---,after
e)paine/sw_V1AAS-S-,u(ma=s_E----AP-,after
e)perwth=sai_V-AAN---,au)to/n_E----ASM,before
e)phrw/ta_V3IAI-S-,au)to/n_E----ASM,after
e)phrw/ta_V3IAI-S-,ti/_I----NSN,after
e)phrw/thse(n)_V3AAI-S-,au)tou/s_E----APM,after
e)phrw/thse(n)_V3AAI-S-,zhtei=te_V2PAI-P-,after
e)pignw/sesqe_V2FMI-P-,au)tou/s_E----APM,after
e)piginw/skete_V2PAM-P-,toiou/tous_M----APM,after
e)pidei/cate_V2AAM-P-,moi_E----DS-,after
e)pidei/cate_V2AAM-P-,no/misma_N----ASN,after
e)peti/mhse(n)_V3AAI-S-,au)toi=s_E----DPM,after
e)pe/treye(n)_V3AAI-S-,au)toi=s_E----DPN,after
e)rga/zh|_V2PMI-S-,ti/_I----ASN,before
e)/rxetai_V3PMI-S-,pro/s_P-------,after
e)rxo/menos_V-PMPNSM,a)/nwqen_B-------,before
e)/rxontai_V3PMI-P-,ei)s_P-------,after
h)=lqes_V2AAI-S-,a)pole/sai_V-AAN---,after
h)=lqes_V2AAI-S-,basani/sai_V-AAN---,after
h)=lqes_V2AAI-S-,w(=de_B-------,after
h)=lqon_V3AAI-P-,ei)s_P-------,after
h)rw/ta_V3IAI-S-,au)tou/s_E----APM,after
h)rw/ta_V3IAI-S-,e)/xete_V2PAI-P-,after
h)rw/thsan_V3AAI-P-,au)to/n_E----ASM,after
h)rw/thsan_V3AAI-P-,e)pimei=nai_V-AAN---,after
h)rw/thsan_V3AAI-P-,ti/_I----NSN,after
fa/gwmen_V1AAS-P-,ti/_I----ASN,before
ei)=xe(n)_V3IAI-S-,te/kna_N----APN,after
e)/sxon_V3AAI-P-,au)th/n_E----ASF,after
e)/sxon_V3AAI-P-,gunai=ka_N----ASF,after
e)/xei_V3PAI-S-,ziza/nia_N----APN,after
e)/xei_V3PAI-S-,ou)=s_N----ASN,after
e)/xei_V3PAI-S-,pneu=ma_N----ASN,before
e)/xei_V3PAI-S-,w)=ta_N----APN,after
e)/xeis_V2PAI-S-,ti/_I----ASN,before
e)/xete_V2PAI-P-,a)/rtous_N----APM,after
e)/xete_V2PAI-P-,kardi/an_N----ASF,after
e)/xete_V2PAI-P-,pepwrwme/nhn_V-RPPASF,before
e)/xete_V2PAI-P-,pi/stin_N----ASF,after
e)/xomen_V1PAI-P-,nou=n_N----ASM,before
e)xo/ntwn_V-PAPGPM,a)podou=nai_V-AAN---,after
e)/xousi(n)_V3PAI-P-,xari/smata_N----APN,before
e)/xwn_V-PAPNSM,sofi/an_N----ASF,after
e)/xwn_V-PAPNSM,w)=ta_N----APN,after
zhlou=te_V2PAM-P-,xari/smata_N----APN,after
e)zh/tei_V3IAI-S-,i)dei=n_V-AAN---,after
e)zh/tei_V3IAI-S-,paradoi=_V3AAS-S-,after
zh/tei_V2PAM-S-,lu/sin_N----ASF,after
zhtei=s_V2PAI-S-,ti/na_I----ASM,before
zhtei=te_V2PAI-P-,a)poktei=nai_V-AAN---,after
zhtei=te_V2PAI-P-,ti/na_I----ASM,before
zhtw=_V1PAI-S-,a)re/skein_V-PAN---,after
zumoi=_V3PAI-S-,fu/rama_N----ASN,before
h)/qele(n)_V3IAI-S-,ei)selqei=n_V-AAN---,after
qe/leis_V2PAI-S-,ti/_I----ASN,before
qe/leis_V2PAI-S-,fobei=sqai_V-PMN---,after
qe/lete_V2PAI-P-,ti/_I----ASN,before
qe/lw_V1PAI-S-,ei)=nai_V-PAN---,after
i)a/sato_V3AMI-S-,au)to/n_E----ASM,after
e)sta/qhsan_V3API-P-,skuqrwpoi/_A----NPM,after
e)/sthsan_V3AAI-P-,a)rgu/ria_N----APN,after
e)/sthsan_V3AAI-P-,au)tw=|_E----DSM,after
i(sta/nomen_V1PAI-P-,no/mon_N----ASM,before
i)/sxusan_V3AAI-P-,a)ntapokriqh=nai_V-APN---,after
i)/sxusas_V2AAI-S-,grhgorh=sai_V-AAN---,after
kaqari/zwn_V-PAPNSM,brw/mata_N----APN,after
e)klh/qh_V3API-S-,peritetmhme/nos_V-RPPNSM,before
e)klh/qhs_V2API-S-,dou=los_N----NSM,before
ke/klhtai_V3RPI-S-,e)n_P-------,before
katabibasqh/sh|_V2FPI-S-,e(/ws_P-------,before
katege/lwn_V3IAI-P-,au)tou=_E----GSM,after
kathgorh/swsi(n)_V3AAS-P-,au)tou=_E----GSM,after
kathgo/roun_V3IAI-P-,au)tou=_E----GSM,after
kathgo/roun_V3IAI-P-,polla/_A----APN,after
kathgorou=si(n)_V3PAI-P-,po/sa_A----APN,before
kathgorou=si(n)_V3PAI-P-,sou_E----GS-,before
kate/klinan_V3AAI-P-,a(/pantas_A----APM,after
katalipw/n_V-AAPNSM,au)tou/s_E----APM,after
katalipw/n_V-AAPNSM,pa/nta_A----APN,after
katamarturou=si(n)_V3PAI-P-,sou_E----GS-,any
katamarturou=si(n)_V3PAI-P-,ti/_I----ASN,before
katargou=men_V1PAI-P-,no/mon_N----ASM,before
e)ke/leuse(n)_V3AAI-S-,a)podoqh=nai_V-APN---,after
khru/sswn_V-PAPNSM,kle/ptein_V-PAN---,after
e)ko/ptonto_V3IMI-P-,au)th/n_E----ASF,after
e)/kracan_V3AAI-P-,stau/rwson_V2AAM-S-,after
kri/nein_V-PAN---,e)/cw_B-------,before
lalei=_V3PAI-S-,ti/_I----ASN,before
lela/lhka_V1RAI-S-,tau=ta_M----APN,before
lela/lhka_V1RAI-S-,u(mi=n_E----DP-,after
e)/labes_V2AAI-S-,o(/_R----ASN,before
ei)=pa_V1AAI-S-,ei)=_V2PAI-S-,after
ei)=pan_V3AAI-P-,au)tw=|_E----DSM,after
ei)=pan_V3AAI-P-,*barabba=n_N----ASM,after
ei)=pan_V3AAI-P-,ge/noito_V3AMO-S-,after
ei)=pan_V3AAI-P-,duna/meqa_V1PMI-P-,after
ei)=pan_V3AAI-P-,ei)=_V2PAI-S-,after
ei)=pan_V3AAI-P-,e(pta/_A----APM,after
ei)=pan_V3AAI-P-,e)sti/(n)_V3PAI-S-,after
ei)=pan_V3AAI-P-,*)ihsou=n_N----ASM,after
ei)=pan_V3AAI-P-,*kai/saros_N----GSM,after
ei)=pan_V3AAI-P-,mai/nh|_V2PMI-S-,after
ei)=pan_V3AAI-P-,ou)qeno/s_A----GSN,after
ei)=pan_V3AAI-P-,ti/_I----NSN,after
ei)pe/_V2AAM-S-,au)th=|_E----DSF,after
ei)pe/_V2AAM-S-,i(/na_C-------,after
ei)=pe(n)_V3AAI-S-,a)kolou/qei_V2PAM-S-,after
ei)=pe(n)_V3AAI-S-,au)th=|_E----DSF,after
ei)=pe(n)_V3AAI-S-,au)toi=s_E----DPM,after
ei)=pe(n)_V3AAI-S-,au)tw=|_E----DSM,after
ei)=pe(n)_V3AAI-S-,ge/gonan_V3RAI-P-,after
ei)=pe(n)_V3AAI-S-,e)bapti/sqhte_V2API-P-,after
ei)=pe(n)_V3AAI-S-,ei)=_V2PAI-S-,after
ei)=pe(n)_V3AAI-S-,ei)mi/_V1PAI-S-,after
ei)=pe(n)_V3AAI-S-,e)/krinas_V2AAI-S-,after
ei)=pe(n)_V3AAI-S-,e)ste/_V2PAI-P-,after
ei)=pe(n)_V3AAI-S-,e)sti/(n)_V3PAI-S-,after
ei)=pe(n)_V3AAI-S-,qe/leis_V2PAI-S-,after
ei)=pe(n)_V3AAI-S-,i)dou/_L-------,after
ei)=pe(n)_V3AAI-S-,i(/na_C-------,after
ei)=pe(n)_V3AAI-S-,moi_E----DS-,after
ei)=pe(n)_V3AAI-S-,o(/ti_C-------,after
ei)=pe(n)_V3AAI-S-,poi=a_A----APN,after
ei)=pe(n)_V3AAI-S-,tosou/tou_M----GSN,after
ei)=pe(n)_V3AAI-S-,u(pa/gete_V2PAM-P-,after
ei)=pon_V3AAI-P-,au)tw=|_E----DSM,after
ei)=pon_V3AAI-P-,e)poi/hse(n)_V3AAI-S-,after
ei)=pon_V1AAI-S-,poih/sw_V1AAS-S-,after
ei)/pw_V1AAS-S-,ti/_I----ASN,before
ei)/pw_V1AAS-S-,u(mi=n_E----DP-,after
ei)/pwmen_V1AAS-P-,e)k_P-------,after
ei)pw/n_V-AAPNSM,tau=ta_M----APN,before
ei)pw/n_V-AAPNSM,tou=to_M----ASN,before
e)/lege(n)_V3IAI-S-,au)toi=s_E----DPM,after
