lemma,gender,distant_determiner
spla/gxnon,neuter,n
sko/tos,neuter,n
skia/,feminine,n
a)na/deicis,feminine,n
do/gma,neuter,n
*kai=sar,masculine,n
*au)gou=stos,masculine,n
a)pografh/,feminine,n
*suri/a,feminine,n
*kurh/nios,masculine,n
*bhqle/em,feminine,n
patria/,feminine,n
fa/tnh,feminine,n
kata/luma,neuter,n
poimh/n,masculine,n
xw/ra,feminine,n
poi/mnh,feminine,n
stratia/,feminine,n
eu)doki/a,feminine,n
kaqarismo/s,masculine,n
no/mos,masculine,y
*(ieroso/luma,neuter,n
mh/tra,feminine,n
qusi/a,feminine,n
zeu=gos,neuter,n
trugw/n,feminine,n
nosso/s,masculine,n
peristera/,feminine,n
para/klhsis,feminine,n
goneu/s,masculine,n
a)gka/lh,feminine,n
ptw=sis,feminine,n
dialogismo/s,masculine,n
*(/anna,feminine,n
*fanouh/l,masculine,n
parqeni/a,feminine,n
nhstei/a,feminine,n
e(orth/,feminine,n
pa/sxa,neuter,n
sunodi/a,feminine,n
dida/skalos,masculine,n
su/nesis,feminine,n
a)po/krisis,feminine,n
h(liki/a,feminine,n
h(gemoni/a,feminine,n
*tibe/rios,masculine,n
*po/ntios,masculine,n
*pila=tos,masculine,y
*fi/lippos,masculine,n
*lusani/as,masculine,n
*)abilhnh/,feminine,n
a)rxiereu/s,masculine,n
*(/annas,masculine,n
*kai+a/fas,masculine,n
*)iorda/nhs,masculine,n
ba/ptisma,neuter,y
meta/noia,feminine,n
*)hsai/+as,masculine,n
tri/bos,feminine,n
fa/ragc,feminine,n
bouno/s,masculine,n
ge/nnhma,neuter,n
e)/xidna,feminine,n
a)ci/nh,feminine,n
xitw/n,masculine,n
brw=ma,neuter,n
telw/nhs,masculine,n
o)yw/nion,neuter,n
i(ma/s,masculine,n
u(po/dhma,neuter,n
ptu/on,neuter,n
a(/lwn,feminine,n
a)poqh/kh,feminine,n
a)/xuron,neuter,n
tetraa/rxhs,masculine,n
*(hrw|dia/s,feminine,n
ei)=dos,neuter,n
*)hli/,masculine,n
*maqqa/t,masculine,n
*melxi/,masculine,n
*)iannai/,masculine,n
*mattaqi/as,masculine,n
*)amw/s,masculine,n
*naou/m,masculine,n
*(esli/,masculine,n
*naggai/,masculine,n
*ma/aq,masculine,n
*semei/+n,masculine,n
*)iwsh/x,masculine,n
*)iwda/,masculine,n
*)iwana/n,masculine,n
*(rhsa/,masculine,n
*zorobabe/l,masculine,n
*salaqih/l,masculine,n
*nhri/,masculine,n
*)addi/,masculine,n
*kwsa/m,masculine,n
*)elmada/m,masculine,n
*)/hr,masculine,n
*)elie/zer,masculine,n
*)iwri/m,masculine,n
*)iwna/m,masculine,n
*)eliaki/m,masculine,n
*melea/,masculine,n
*menna/,masculine,n
*mattaqa/,masculine,n
*naqa/m,masculine,n
*)iessai/,masculine,n
*)iwbh/l,masculine,n
*bo/os,masculine,n
*sala/,masculine,n
*naassw/n,masculine,n
*)aminada/b,masculine,n
*)admi/n,masculine,n
*)arni/,masculine,n
*(esrw/m,masculine,n
*fare/s,masculine,n
*)isaa/k,masculine,n
*qa/ra,masculine,n
*naxw/r,masculine,n
*serou/x,masculine,n
*(ragau/,masculine,n
*fa/lek,masculine,n
*)/eber,masculine,n
*kai+na/m,masculine,n
*)arfaca/d,masculine,n
*sh/m,masculine,n
*nw=e,masculine,n
*la/mex,masculine,n
*maqousala/,masculine,n
*(enw/x,masculine,n
*)ia/ret,masculine,n
*maleleh/l,masculine,n
*)enw/s,masculine,n
*sh/q,masculine,n
*)ada/m,masculine,n
a)/rtos,masculine,y
stigmh/,feminine,n
pteru/gion,neuter,n
fh/mh,feminine,n
*nazara/,feminine,n
sa/bbaton,neuter,n
ai)xma/lwtos,masculine,n
a)na/bleyis,feminine,n
grafh/,feminine,n
