lemma,gender,distant_determiner
oi)khth/rion,neuter,n
zo/fos,masculine,n
dei=gma,neuter,n
*ka/i+n,masculine,n
a)ntilogi/a,feminine,n
*ko/re,masculine,n
spila/s,feminine,n
goggusth/s,masculine,n
e)mpai/kths,masculine,n
megalwsu/nh,feminine,n
a)ggeli/a,feminine,n
i(lasmo/s,masculine,n
a)nti/xristos,masculine,n
xri=sma,neuter,n
ko/lasis,feminine,n
ni/kh,feminine,n
*diotre/fhs,masculine,n
me/lan,neuter,n
kuri/a,feminine,n
xa/rths,masculine,n
e)kzh/thsis,feminine,n
mataiologi/a,feminine,n
patrolw/|as,masculine,n
mhtrolw/|as,masculine,n
a)ndrofo/nos,masculine,n
a)ndrapodisth/s,masculine,n
diw/kths,masculine,n
a)podoxh/,feminine,n
stratei/a,feminine,n
e)/nteucis,feminine,n
a)nti/lutron,neuter,n
katastolh/,feminine,n
ai)dw/s,feminine,n
ple/gma,neuter,n
qeose/beia,feminine,n
*eu(/a,feminine,n
teknogoni/a,feminine,n
baqmo/s,masculine,n
e(drai/wma,neuter,n
meta/lhmyis,feminine,n
gumnasi/a,feminine,n
a(gnei/a,feminine,n
a)moibh/,feminine,n
pro/krima,neuter,n
pro/sklisis,feminine,n
sto/maxos,masculine,n
logomaxi/a,feminine,n
u(po/noia,feminine,n
diaparatribh/,feminine,n
porismo/s,masculine,n
au)ta/rkeia,feminine,n
diatrofh/,feminine,n
ske/pasma,neuter,n
filarguri/a,feminine,n
prau+paqi/a,feminine,n
o(mologi/a,feminine,n
a)dhlo/ths,feminine,n
a)po/lausis,feminine,n
a)nti/qesis,feminine,n
*za/ra,masculine,n
*qama/r,feminine,n
*)ara/m,masculine,n
*salmw/n,masculine,n
*bo/es,masculine,n
*(raxa/b,feminine,n
*)iwbh/d,masculine,n
*(rou/q,feminine,n
*ou)ri/as,masculine,n
*(roboa/m,masculine,n
*)asa/f,masculine,n
*)iwsafa/t,masculine,n
*)iwra/m,masculine,n
*)ozi/as,masculine,n
*)iwaqa/m,masculine,n
*)axa/z,masculine,n
*(ezeki/as,masculine,n
*)iwsi/as,masculine,n
*)iexoni/as,masculine,n
metoikesi/a,feminine,n
*)abiou/d,masculine,n
*)azw/r,masculine,n
*sadw/k,masculine,n
*)axi/m,masculine,n
*)eliou/d,masculine,n
*)elea/zar,masculine,n
*matqa/n,masculine,n
o)/nar,neuter,n
*)emmanouh/l,masculine,n
*(ieroso/luma,feminine,n
teleuth/,feminine,n
*)ieremi/as,masculine,n
*(rama/,feminine,n
o)durmo/s,masculine,n
*(raxh/l,feminine,n
*)arxe/laos,masculine,n
a)mfi/blhstron,neuter,n
malaki/a,feminine,n
i)w=ta,neuter,n
r(aka/,masculine,n
mi/lion,neuter,n
polulogi/a,feminine,n
tri/bolos,masculine,n
broxh/,feminine,n
e(kato/ntarxos,masculine,n
dai/mwn,masculine,n
*go/morra,neuter,n
oi)kiako/s,masculine,n
biasth/s,masculine,n
kh=tos,neuter,n
ziza/nion,neuter,n
qeristh/s,masculine,n
de/smh,feminine,n
sunte/leia,feminine,n
sagh/nh,feminine,n
a)/ggos,neuter,n
futei/a,feminine,n
yeudomarturi/a,feminine,n
*magada/n,feminine,n
eu)di/a,feminine,n
*bariwna=,masculine,n
o)ligopisti/a,feminine,n
di/draxmon,neuter,n
a)/gkistron,neuter,n
stath/r,masculine,n
ta/lanton,neuter,n
da/neion,neuter,n
basanisth/s,masculine,n
tru/phma,neuter,n
e(tai=ros,masculine,n
u(pozu/gion,neuter,n
e)mpori/a,feminine,n
die/codos,feminine,n
no/misma,neuter,n
fulakth/rion,neuter,n
kaqhghth/s,masculine,n
a)/nhqon,neuter,n
ku/minon,neuter,n
kw/nwy,masculine,n
paroyi/s,feminine,n
*baraxi/as,masculine,n
nossi/on,neuter,n
*danih/l,masculine,n
fugh/,feminine,n
oi)ketei/a,feminine,n
a)ggei=on,neuter,n
trapezi/ths,masculine,n
e)ri/fion,neuter,n
dei=na,masculine,n
korbana=s,masculine,n
tafh/,feminine,n
xlamu/s,feminine,n
h)li/,masculine,n
e)/gersis,feminine,n
tou)/noma,neuter,n
koustwdi/a,feminine,n
ei)de/a,feminine,n
e)pa/ggelma,neuter,n
lh/qh,feminine,n
mnh/mh,feminine,n
e)po/pths,masculine,n
e)pi/lusis,feminine,n
yeudodida/skalos,masculine,n
seira/,feminine,n
ble/mma,neuter,n
miasmo/s,masculine,n
tolmhth/s,masculine,n
a(/lwsis,feminine,n
mw=mos,masculine,n
*boso/r,masculine,n
e)/legcis,feminine,n
paranomi/a,feminine,n
parafroni/a,feminine,n
o(mi/xlh,feminine,n
mi/asma,neuter,n
e)ce/rama,neuter,n
u(=s,feminine,n
kulismo/s,masculine,n
bo/rboros,masculine,n
e)mpaigmonh/,feminine,n
bradu/ths,feminine,n
sthrigmo/s,masculine,n
a)pau/gasma,neuter,n
xarakth/r,masculine,n
u(po/stasis,feminine,n
eu)qu/ths,feminine,n
misqapodosi/a,feminine,n
merismo/s,masculine,n
qe/lhsis,feminine,n
qera/pwn,masculine,n
parapikrasmo/s,masculine,n
dokimasi/a,feminine,n
kw=lon,neuter,n
sabbatismo/s,masculine,n
a(rmo/s,masculine,n
muelo/s,masculine,n
o(moio/ths,feminine,n
*melxise/dek,masculine,n
i(kethri/a,feminine,n
eu)la/beia,feminine,n
e(/cis,feminine,n
ai)sqhth/rion,neuter,n
teleio/ths,feminine,n
bota/nh,feminine,n
kau=sis,feminine,n
*salh/m,feminine,n
koph/,feminine,n
a)kroqi/nion,neuter,n
e)/pos,neuter,n
i(erwsu/nh,feminine,n
meta/qesis,feminine,n
a)qe/thsis,feminine,n
e)peisagwgh/,feminine,n
o(rkwmosi/a,feminine,n
a)fanismo/s,masculine,n
qumiath/rion,neuter,n
sta/mnos,feminine,n
pla/c,feminine,n
*xerou=b,neuter,n
a)gno/hma,neuter,n
dio/rqwsis,feminine,n
tra/gos,masculine,n
da/malis,feminine,n
kaqaro/ths,feminine,n
ai(matekxusi/a,feminine,n
kefali/s,feminine,n
e)kdoxh/,feminine,n
timwri/a,feminine,n
a)/qlhsis,feminine,n
u(postolh/,feminine,n
e)/legxos,masculine,n
misqapodo/ths,masculine,n
dhmiourgo/s,masculine,n
dia/tagma,neuter,n
pro/sxusis,feminine,n
pei=ra,feminine,n
kata/skopos,masculine,n
*gedew/n,masculine,n
*bara/k,masculine,n
*samyw/n,masculine,n
*)iefqa/e,masculine,n
e)mpaigmo/s,masculine,n
mhlwth/,feminine,n
de/rma,neuter,n
ne/fos,neuter,n
o)/gkos,masculine,n
teleiwth/s,masculine,n
a(gio/ths,feminine,n
troxia/,feminine,n
prwtoto/kia,neuter,n
gno/fos,masculine,n
qu/ella,feminine,n
panh/guris,feminine,n
de/os,neuter,n
ai)/nesis,feminine,n
eu)poii/+a,feminine,n
*kolossai/,feminine,n
a)reskei/a,feminine,n
piqanologi/a,feminine,n
stere/wma,neuter,n
filosofi/a,feminine,n
qeo/ths,feminine,n
a)pe/kdusis,feminine,n
xeiro/grafon,neuter,n
noumhni/a,feminine,n
a)po/xrhsis,feminine,n
e)qeloqrhski/a,feminine,n
a)feidi/a,feminine,n
plhsmonh/,feminine,n
ai)sxrologi/a,feminine,n
*sku/qhs,masculine,n
momfh/,feminine,n
a)ntapo/dosis,feminine,n
i)so/ths,feminine,n
a)neyio/s,masculine,n
parhgori/a,feminine,n
*(iera/polis,feminine,n
*nu/mfa,feminine,n
*laodikeu/s,masculine,n
a)po/krima,neuter,n
e)lafri/a,feminine,n
e)pitimi/a,feminine,n
i(kano/ths,feminine,n
kata/krisis,feminine,n
ka/lumma,neuter,n
fwtismo/s,masculine,n
skh=nos,neuter,n
proskoph/,feminine,n
a)grupni/a,feminine,n
a(gno/ths,feminine,n
dusfhmi/a,feminine,n
eu)fhmi/a,feminine,n
metoxh/,feminine,n
sumfw/nhsis,feminine,n
*belia/r,masculine,n
sugkata/qesis,feminine,n
molusmo/s,masculine,n
e)pipo/qhsis,feminine,n
a)gana/kthsis,feminine,n
a(dro/ths,feminine,n
do/ths,masculine,n
kaqai/resis,feminine,n
o)xu/rwma,neuter,n
yeudapo/stolos,masculine,n
nuxqh/meron,neuter,n
buqo/s,masculine,n
di/yos,neuter,n
e)qna/rxhs,masculine,n
*(are/tas,masculine,n
sarga/nh,feminine,n
sko/loy,masculine,n
yiqurismo/s,masculine,n
fusi/wsis,feminine,n
kata/rtisis,feminine,n
