lemma_id,lemma_text,lemma_short_def
455,a)doce/w,"to be held in no esteem, to stand in ill repute"
457,a)/docos,"inglorious, disreputable"
458,a(/dos,satio
459,a)/dotos,without gifts
460,a)/doulos,unattended by slaves
461,a)dou/phtos,noiseless
462,a)dranh/s,"inactive, powerless"
463,*)adra/steia,the Inevitable
464,a)/drastos,"not running away, not inclined to do so"
465,*)adriako/s,from the Adriatic
466,*)adriano/s,Adriatic
467,*)adri/as,the Adriatic
468,a(dro/omai,to come to one's strength
469,a(dro/s,thick
470,a(drosu/nh,
471,a(droth/s,strength
472,a)drua/s,"a kind of nymph, Hamadryad"
473,a(dru/nw,"to make ripe, ripen"
474,a)dunami/a,want of strength
475,a)dunasi/a,
476,a)dunate/w,to want strength
477,a)du/natos,unable
478,a)/duton,the innermost sanctuary
479,a)/dutos,not to be entered
480,*)adwnia/zw,those who keep the Adonia
481,*)adw/nia,the mourning for Adonis
482,*)/adwnis,Adonis
483,*)/adwn,
484,a)dw/rhtos,
485,a)dwrodo/khtos,
486,a)dwrodo/kos,incorruptible
487,a)/dwros,"without gifts, taking none, incorruptible"
488,a)dw/ths,one who gives nothing
489,a)ei/bolos,continually thrown
490,a)eigene/ths,"everlasting, immortal"
491,a)eigenh/s,everlasting
492,a)eidh/s,"without form, incorporeal"
494,a)ei/dw,to sing
497,a)eikh/s,"unseemly, shameful"
498,a)eiki/a,"unseemly treatment, outrage"
499,a)eiki/zw,"to treat unseemly, injure, abuse"
500,a)eilogi/a,a continual talking
501,a)ei/mnhstos,ever to be remembered
503,a)eipa/rqenos,ever a virgin
504,a)ei/,"always, for ever"
506,a)ei/rw,"to lift, heave, raise up"
507,a)/eisma,
510,a)eifugi/a,perpetual exile
511,a)eixro/nios,everlasting
512,a)ekazo/menos,"against one's will, unwilling"
513,a)ekh/lios,
514,a)e/khti,against one's will
515,a)ekou/sios,"against one's will, involuntary"
516,a)e/kwn,"against one's will, unwilling"
518,a)/ella,"a stormy wind, whirlwind, eddy"
519,a)ella/s,
520,a)ellh/s,eddying
521,a)elloma/xos,struggling with the storm
523,*)aellw/,storm
524,a)elpte/w,to have no hope
525,a)elph/s,"unhoped for, unexpected"
526,a)elpti/a,an unlooked for event
527,a)/elptos,unexpectedly
