,book,chapter,verse,position,head,word
106,Matt,8,9,19,καὶ,ἄλλῳ
107,Matt,8,9,25,καὶ,δούλῳ
108,Matt,8,10,8,ἀκολουθοῦσιν,τοῖς
109,Matt,8,13,11,γενηθήτω,σοι
110,Matt,8,15,15,διηκόνει,αὐτῷ
111,Matt,8,16,5,προσήνεγκαν,αὐτῷ
112,Matt,8,16,12,ἐξέβαλεν,λόγῳ
113,Matt,8,19,9,ἀκολουθήσω,σοι
114,Matt,8,21,9,ἐπίτρεψόν,μοι
115,Matt,8,22,7,Ἀκολούθει,μοι
116,Matt,8,23,2,ἠκολούθησαν,ἐμβάντι
117,Matt,8,23,7,ἠκολούθησαν,αὐτῷ
118,Matt,8,23,3,ἐμβάντι,αὐτῷ
119,Matt,8,26,12,καὶ,ἀνέμοις
120,Matt,8,26,15,καὶ,θαλάσσῃ
121,Matt,8,27,16,ὑπακούουσιν,αὐτῷ
122,Matt,8,28,13,ὑπήντησαν,αὐτῷ
123,Matt,8,29,6,καὶ,ἡμῖν
124,Matt,8,29,8,καὶ,σοί
125,Matt,9,2,4,προσέφερον,αὐτῷ
126,Matt,9,8,15,δόντα,ἀνθρώποις
127,Matt,9,9,18,Ἀκολούθει,μοι
128,Matt,9,9,22,ἠκολούθησεν,αὐτῷ
129,Matt,9,10,17,καὶ,Ἰησοῦ
130,Matt,9,10,20,καὶ,μαθηταῖς
131,Matt,9,14,3,προσέρχονται,αὐτῷ
132,Matt,9,18,4,λαλοῦντος,αὐτοῖς
133,Matt,9,18,10,προσεκύνει,αὐτῷ
134,Matt,9,19,6,ἠκολούθει,αὐτῷ
135,Matt,9,27,2,ἠκολούθησαν,παράγοντι
136,Matt,9,27,7,ἠκολούθησαν,αὐτῷ
137,Matt,9,27,5,παράγοντι,Ἰησοῦ
138,Matt,9,28,1,καὶ,ἐλθόντι
139,Matt,9,28,7,προσῆλθον,αὐτῷ
140,Matt,9,29,12,γενηθήτω,ὑμῖν
141,Matt,9,30,8,ἐνεβριμήθη,αὐτοῖς
142,Matt,9,32,6,προσήνεγκαν,αὐτῷ
143,Matt,10,1,8,ἔδωκεν,αὐτοῖς
144,Matt,10,5,8,παραγγείλας,αὐτοῖς
145,Matt,10,15,6,ἔσται,γῇ
146,Matt,10,15,15,ἢ,πόλει
147,Matt,10,18,12,καὶ,αὐτοῖς
148,Matt,10,18,15,καὶ,ἔθνεσιν
149,Matt,10,19,13,δοθήσεται,ὑμῖν
